Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
0,0.339794385798114,-0.37977141000935,-0.24361484020312,-0.381844754846318,0.0720925222607232,0.489865435151316,-0.0895851463154234,0.44939013465836,-0.150191958941992
0.015,0.339795277233014,-0.379773422478571,-0.243615803280331,-0.381844979802944,0.072093041932726,0.489865689380123,-0.0895852158066457,0.449390296323979,-0.150191879359205
0.03,0.339796260378525,-0.379775759752453,-0.243616976640223,-0.38184591937011,0.0720951808202819,0.489866721205783,-0.0895854008203841,0.449390744808726,-0.150191650466567
0.045,0.339797061479404,-0.379777790876809,-0.243618051829193,-0.381846685014645,0.0720970342579226,0.489867666138804,-0.0895855519898548,0.449391135164159,-0.150191440980872
0.06,0.339797771458386,-0.379779714602253,-0.243619120664898,-0.381847372450584,0.07209880635411,0.489868616010965,-0.0895856820727958,0.449391494658232,-0.150191238615471
0.075,0.339798373822254,-0.379781468426836,-0.243620141309768,-0.381847962817469,0.0721004348637489,0.489869531684689,-0.0895857882560608,0.449391810528245,-0.150191052475352
0.09,0.339798860816316,-0.379783002090256,-0.243621074458331,-0.381848445340314,0.0721018674000599,0.489870374960622,-0.0895858704525376,0.449392075548255,-0.150190889271155
0.105,0.339799235732606,-0.37978428927661,-0.243621891956534,-0.381848820400135,0.0721030740634125,0.489871117286024,-0.0895859307771839,0.449392288120559,-0.150190752688622
0.12,0.339799510138883,-0.379785326278009,-0.243622578414566,-0.381849097166413,0.0721040470089318,0.489871741812458,-0.089585972709496,0.449392451267763,-0.150190643472109
0.135,0.339799700634447,-0.37978612822806,-0.243623131002825,-0.381849290560361,0.0721047974421578,0.489872243703205,-0.0895860002587637,0.44939257113734,-0.150190559972185
0.15,0.339799825677005,-0.379786723654735,-0.243623557575957,-0.381849418094865,0.072105350665066,0.489872628719869,-0.0895860173085165,0.449392655476858,-0.150190498910341
0.165,0.339799902981389,-0.379787148507083,-0.243623873683461,-0.381849497139531,0.0721057402890844,0.489872910554981,-0.0895860271999387,0.449392712333631,-0.150190456170584
0.18,0.3397999477643,-0.37978744052312,-0.243624099121602,-0.381849542962892,0.0721060025799876,0.489873107549233,-0.0895860325412018,0.449392749112915,-0.150190427491889
0.195,0.33979997190284,-0.379787634948342,-0.24362425472774,-0.381849567678827,0.0721061719037829,0.489873239468076,-0.0895860351972609,0.449392772036678,-0.150190408965662
0.21,0.339799983858688,-0.379787761761135,-0.243624359867073,-0.381849580010101,0.0721062776568264,0.489873324865698,-0.0895860363902349,0.449392785936416,-0.150190397331495
0.225,0.339799989125824,-0.379787844501217,-0.243624430884768,-0.381849585648764,0.072106342819038,0.489873379367278,-0.0895860368505056,0.449392794300365,-0.15019039008552
0.24,0.33979999092644,-0.379787900419964,-0.243624480546618,-0.381849587936682,0.0721063839294812,0.489873414961214,-0.0895860369715643,0.449392799479443,-0.150190385443866
0.255,0.339799990919018,-0.379787941526902,-0.243624518303749,-0.381849588608541,0.0721064120869499,0.489873440185947,-0.0895860369393397,0.449392802966534,-0.150190382212107
0.27,0.339799989761266,-0.379787976064028,-0.24362455109846,-0.381849588409134,0.0721064344975583,0.489873460950063,-0.0895860368229434,0.449392805681723,-0.150190379610943
0.285,0.339799987461163,-0.379788009992427,-0.243624584388388,-0.38184958748866,0.0721064561154861,0.489873481655977,-0.0895860366265577,0.449392808216645,-0.150190377101718
0.3,0.339799983528491,-0.379788048190374,-0.243624623096573,-0.381849585568233,0.0721064810235192,0.489873506304942,-0.089586036310768,0.449392811011634,-0.150190374244472
0.315,0.339799976992111,-0.379788095203049,-0.243624672275966,-0.381849581934006,0.0721065133413348,0.489873539329563,-0.0895860357958877,0.449392814457851,-0.150190370607929
0.33,0.339799966369535,-0.379788155518732,-0.243624737382923,-0.38184957535253,0.0721065575965842,0.489873586005065,-0.0895860349600804,0.449392818931835,-0.150190365736731
0.345,0.339799949667863,-0.379788233451513,-0.243624824159991,-0.381849564001883,0.0721066186182626,0.489873652405636,-0.0895860336421983,0.449392824780385,-0.150190359168614
0.36,0.339799924467813,-0.37978833277349,-0.243624938213157,-0.381849545489616,0.0721067010956449,0.489873744973121,-0.0895860316545284,0.449392832278607,-0.15019035048514
0.375,0.33979988810652,-0.37978845625862,-0.243625084420435,-0.381849516990817,0.0721068089829015,0.489873869835437,-0.0895860288055662,0.449392841583415,-0.150190339375396
0.39,0.339799837940731,-0.37978860528284,-0.24362526632362,-0.381849475499578,0.072106944923253,0.489874032043436,-0.0895860249288886,0.449392852699844,-0.150190325692913
0.405,0.339799771647895,-0.379788779583016,-0.243625485637581,-0.381849418154711,0.0721071098282362,0.489874234888775,-0.0895860199120256,0.449392865470159,-0.150190309491042
0.42,0.339799687512259,-0.379788977224647,-0.243625741971059,-0.381849342582013,0.0721073026917742,0.489874479429513,-0.0895860137191623,0.449392879588003,-0.15019029102924
0.435,0.339799584646562,-0.379789194777555,-0.243626032801813,-0.381849247192507,0.0721075206596749,0.489874764296781,-0.0895860064031483,0.449392894633459,-0.150190270750173
