Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11
0.255,-0.495765359741258,-0.42009436267331,-0.294901630263096,-0.0882686920763044,-0.307095281692765,-0.497802047934064,0.239252507888305,0.221183554648869,0.347199570570371,0.208938642987653
0.27,-0.495767862876417,-0.420096968784751,-0.294904356101609,-0.0882715552318494,-0.307098300532398,-0.497802611745596,0.239251918618965,0.221182936015759,0.347198918440352,0.208937953014291
0.285,-0.49576992163181,-0.420099079894134,-0.29490653211491,-0.088273809580325,-0.307100647494163,-0.497803072250962,0.239251444360414,0.221182445141378,0.347198407855349,0.208937419398605
0.3,-0.495771788846604,-0.420100966211516,-0.294908446793901,-0.0882757627757158,-0.307102650243116,-0.497803482488959,0.239251027900229,0.221182020435761,0.347197972652025,0.208936971217852
0.315,-0.495773632639018,-0.420102806718239,-0.294910290512758,-0.0882776170990776,-0.307104523461873,-0.497803875721667,0.239250633186401,0.221181622928227,0.347197570817813,0.208936563300919
0.33,-0.495775563938476,-0.42010472003072,-0.294912189819921,-0.0882795072565527,-0.307106410218399,-0.497804271419261,0.239250238673819,0.22118122891983,0.347197176426998,0.208936167429121
0.345,-0.49577764790502,-0.420106778016143,-0.294914223401908,-0.0882815188375617,-0.307108403058048,-0.49780467811575,0.239249834073643,0.221180826304647,0.347196775501422,0.20893576770472
0.36,-0.495779906549699,-0.420109009374818,-0.294916426775212,-0.0882836942661853,-0.307110551365902,-0.497805094793465,0.239249418838615,0.221180412896882,0.347196364150433,0.20893535847403
0.375,-0.495782319306762,-0.420111400154893,-0.294918792846035,-0.0882860335153639,-0.307112862351519,-0.497805512163954,0.239249000944447,0.221179995259251,0.34719594742934,0.208934943197364
0.39,-0.495784826339243,-0.420113896371148,-0.294921273881791,-0.0882884954786713,-0.307115301876754,-0.497805914668343,0.239248595044737,0.221179587012494,0.347195537801296,0.208934533059438
0.405,-0.495787336825377,-0.420116411404132,-0.294923788002021,-0.0882910035384454,-0.307117799093365,-0.497806283424299,0.239248219676888,0.221179206205626,0.347195152682386,0.208934144698738
0.42,-0.495789742100526,-0.420118838414863,-0.294926230801353,-0.0882934563354839,-0.307120256301561,-0.49780659985677,0.23924789371252,0.221178871865831,0.347194811109315,0.208933797011155
0.435,-0.495791931809824,-0.420121066159395,-0.294928490741455,-0.0882957426530993,-0.30712256324063,-0.497806849455292,0.239247632576102,0.221178600212427,0.347194529968889,0.208933507415859
0.45,-0.495793810379866,-0.42012299559103,-0.294930465802624,-0.0882977580329082,-0.307124613580138,-0.497807025023722,0.239247444867773,0.22117840116759,0.347194320413409,0.208933288193492
0.465,-0.495795311118789,-0.420124554507773,-0.294932078618955,-0.0882994203319873,-0.307126320827397,-0.497807128896288,0.239247329945153,0.2211782757441,0.347194185064072,0.208933143516623
0.48,-0.495796405904351,-0.420125708063421,-0.29493328778436,-0.0883006817890358,-0.307127631112187,-0.497807173821673,0.239247276805789,0.22117821469396,0.347194116426984,0.208933067636022
0.495,-0.495797109431002,-0.420126463933208,-0.294934093941892,-0.0883015360365178,-0.307128531114562,-0.497807182487541,0.239247264343012,0.221178198536764,0.347194096687362,0.208933044435279
0.51,-0.495797478062147,-0.420126872008453,-0.294934540353545,-0.0883020195741474,-0.307129050465892,-0.497807185901899,0.239247262795396,0.221178198826974,0.347194098782187,0.208933048297158
0.525,-0.495797604230304,-0.420127019434024,-0.294934708625336,-0.0883022082299604,-0.307129258991852,-0.497807221015544,0.239247236027149,0.221178180322022,0.347194088440899,0.208933046001832
0.54,-0.495797607896508,-0.420127022431408,-0.294934710950318,-0.0883022098798265,-0.307129259964867,-0.497807328039709,0.239247144190106,0.22117810360973,0.347194026763456,0.208932999240355
0.555,-0.495797626775271,-0.420127016606396,-0.294934680550674,-0.0883021550777984,-0.30712918097837,-0.497807547889066,0.239246946327554,0.221177927747886,0.347193872883702,0.208932867288978
0.57,-0.495797806894606,-0.420127147352923,-0.294934761964931,-0.0883021872695105,-0.307129164132347,-0.497807920085684,0.239246602564922,0.221177612542989,0.347193586328488,0.208932609439949
0.585,-0.495798294690022,-0.420127561624819,-0.294935102520824,-0.088302453993317,-0.307129356993613,-0.497808481326694,0.239246075661176,0.221177120218823,0.347193128800546,0.208932186894732
0.6,-0.495799231345988,-0.420128401872643,-0.294935845874265,-0.0883031000316772,-0.307129905373583,-0.4978092647791,0.239245331834884,0.221176416365749,0.347192465252493,0.208931563963333
0.615,-0.49580074960803,-0.420129802446752,-0.294937127995672,-0.0883042629759646,-0.307130948469862,-0.497810300044548,0.239244340904019,0.221175470190551,0.347191564251626,0.208930708548275
0.63,-0.495802972875336,-0.420131888337441,-0.294939075539406,-0.0883060712089269,-0.307132616447654,-0.497811613650113,0.239243075871512,0.221174254185649,0.347190397739822,0.208929592001874
0.645,-0.495806016092976,-0.420134775810266,-0.294941806197934,-0.0883086439543486,-0.307135030162779,-0.497813229873514,0.239241512142748,0.221172743397161,0.347188940360029,0.208928188518959
0.66,-0.495809987805901,-0.420138574315892,-0.294945430441546,-0.0883120928206245,-0.307138302483267,-0.4978151716995,0.239239626578336,0.221170914494177,0.34718716854964,0.208926474262126
0.675,-0.495814992698851,-0.420143388997778,-0.294950053969644,-0.0883165241706278,-0.307142540552123,-0.497817461720395,0.239237396573293,0.221168744833706,0.347185059597662,0.208924426417977
0.69,-0.495821133998144,-0.420149323160085,-0.294955780224963,-0.0883220416609679,-0.307147848329039,-0.497820122827784,0.239234799322063,0.221166211686646,0.347182590836448,0.208922022359947
0.705,-0.495828515220772,-0.420156480160136,-0.294962712415468,-0.0883287483776057,-0.307154328822229,-0.497823178585133,0.239231811386947,0.22116329174957,0.347179739099701,0.20891923905598
0.72,-0.495837240896208,-0.420164964326066,-0.294970954620635,-0.0883367481215105,-0.307162085542267,-0.497826653216199,0.239228408642609,0.221159961022424,0.347176480534251,0.208916052815854
