idx,yp,yy,mp,my,np,ny,epp,epy,ep,ey,up,uy,kpp,kpi,kpd,kyp,kyi,kyd,r,td,x
0,-30,0,-40.1070456591576,0,0,0,10.1070456591576,0,-40.1070456591576,0,0,0,80,0.4,8,80,0.4,8,0.245,0.245773165024237,0.0773165024236765
0.015,-29.99919162,0,-40.1586521220835,0.00562100632704788,420.468004192878,-433.650144771025,10.1594605020835,-0.00562100632704788,-460.626656314961,433.655765777352,14.3648071016182,0,80,0.4,8,80,0.4,8,0.110793762840911,-14.6017407589562,16.0779868420165
0.03,-29.99677296,0,-40.1166260721338,0.0590216329378052,168.073315501809,-91.9107948572042,10.1198531121338,-0.0590216329378052,-208.189941573943,91.969816490142,14.5974848591491,-0.0470981869065629,80,0.4,8,80,0.4,8,2.05725163691821,-14.0563872856306,17.1411804484264
0.045,-29.99275374,0,-39.9336077428592,0.164939414872154,157.367325890622,-67.9117362583089,9.94085400285917,-0.164939414872154,-197.300933633481,68.076675673181,14.6276033566013,-0.170538091420987,80,0.4,8,80,0.4,8,2.54338926286812,-14.1972606236576,16.1963803434224
0.06,-29.98714368,0,-39.6259831673642,0.319220341393341,151.568464909308,-56.1401919655229,9.63883948736421,-0.319220341393341,-191.194448076673,56.4594123069162,14.4722587292068,-0.366419775250369,80,0.4,8,80,0.4,8,2.76494071357767,-12.8363258027834,14.7196909124118
0.075,-29.9799525,0,-39.2140102516597,0.51635766101532,141.525531226222,-44.7776820273491,9.23405775165969,-0.51635766101532,-180.739541477882,45.2940396883644,14.1554777616587,-0.628691634786213,80,0.4,8,80,0.4,8,2.79417699355745,-11.2253320075975,12.919305310382
0.09,-29.97118992,0,-38.7206492999818,0.749713921788931,127.771676703748,-33.904119739852,8.74945937998175,-0.749713921788931,-166.49232600373,34.6538336616409,13.7061112857921,-0.949480281827734,80,0.4,8,80,0.4,8,2.64733679203662,-9.5148525647085,10.9370687852512
0.105,-29.96086566,0,-38.1703722898846,1.01177475040361,111.310382995665,-23.8927233419643,8.20950662988465,-1.01177475040361,-149.48075528555,24.9044980923679,13.1562226011006,-1.31940843287892,80,0.4,8,80,0.4,8,2.36371601026761,-7.80809649655313,8.91627264599184
0.12,-29.94898944,0,-37.5879986432991,1.29442354165999,93.2776819721504,-15.0548283890468,7.63900920329913,-1.29442354165999,-130.86568061545,16.3492519307068,12.539464789396,-1.72795295707886,80,0.4,8,80,0.4,8,1.99737831606498,-6.18963903609255,6.98401980689434
0.135,-29.93557098,0,-36.9976016772357,1.58922598426996,74.8627603591481,-7.62202335518275,7.06203069723572,-1.58922598426996,-111.860362036384,9.21124933945271,11.8895105080014,-2.16382822705803,80,0.4,8,80,0.4,8,1.60485255815189,-4.72011622264622,5.23676003304313
