Var1,Var2,Var3,Var4
0,-1.60095179255506,0.258310457955981,-1.5390702185178
0.015,-1.60959260891853,0.211700752761423,-1.55381921725006
0.03,-1.61699101435881,0.164361106466687,-1.56750950416622
0.045,-1.62316801149061,0.116606488919485,-1.58005602561583
0.06,-1.62814439139527,0.0687609594869963,-1.59137383882026
0.075,-1.63192697038377,0.020871631445026,-1.60145782063234
0.09,-1.63452649914622,-0.0269571364182825,-1.61028738350183
0.105,-1.63595333860879,-0.0746404049622938,-1.61784981870386
0.12,-1.63621715939265,-0.122119074028098,-1.62414279272256
0.135,-1.63532720842948,-0.169358068447104,-1.62917393068268
0.15,-1.63329294324003,-0.216338642658902,-1.63295814929309
0.165,-1.63012473544695,-0.263048835739556,-1.63551413160788
0.18,-1.62583439700723,-0.309475631063277,-1.63686129438721
0.195,-1.62043542336612,-0.355600559242614,-1.63701799762897
0.21,-1.61394298569649,-0.401398612957579,-1.63600103482413
0.225,-1.60637377848344,-0.44683927683772,-1.63382598343121
0.24,-1.59774583206983,-0.491888341043743,-1.63050789333016
0.255,-1.58807836781511,-0.536509595952833,-1.62606193650607
0.27,-1.57739179722472,-0.580666042278584,-1.62050385396027
0.285,-1.56570438953903,-0.62432061956742,-1.61385018746452
0.3,-1.55304091700434,-0.66743660291443,-1.60611833117447
0.315,-1.5394246737869,-0.709977818284991,-1.59732637053004
0.33,-1.52487884369982,-0.75190877350511,-1.58749231040747
0.345,-1.50942780975116,-0.793194748121109,-1.57662909911745
0.36,-1.49309670680851,-0.833801846924585,-1.56472837869825
0.375,-1.47591134324623,-0.873697001604897,-1.55194664356286
0.39,-1.45789816538125,-0.912847907902541,-1.53820988474063
0.405,-1.43908424905939,-0.951222903011377,-1.52355462128881
0.42,-1.41949731171842,-0.98879082651928,-1.50800956170331
0.435,-1.39916573346587,-1.02552093077755,-1.49160234068233
0.45,-1.37811857170977,-1.06138290270242,-1.47435997727919
0.465,-1.35638555340998,-1.09634702789992,-1.45630884192225
0.48,-1.33399703537844,-1.13038447707277,-1.43747469222995
0.495,-1.31098393241081,-1.1634676497514,-1.41788287593203
0.51,-1.28737762192354,-1.19557049041444,-1.39755867231598
0.525,-1.26320983901771,-1.22666870377507,-1.3765276915653
0.54,-1.2385125762441,-1.25673983149665,-1.35481624214102
0.555,-1.21331799860731,-1.28576319528564,-1.33245159716474
0.57,-1.18765837859788,-1.31371974487771,-1.30946212665524
0.585,-1.16156605051393,-1.3405918646248,-1.28587729850035
0.6,-1.13507337955709,-1.36636318894735,-1.26172757671604
0.615,-1.10821273966284,-1.39101846112767,-1.23704425689493
0.63,-1.08101649440219,-1.4145434502362,-1.2118592774661
0.645,-1.05351697678626,-1.43692492423969,-1.18620503625812
0.66,-1.02574646562025,-1.45815066697599,-1.16011423005957
0.675,-0.997737157626428,-1.47820952289968,-1.13361972424541
0.69,-0.969521135629139,-1.49709145454118,-1.10675445199478
0.705,-0.94113033365368,-1.51478760114455,-1.07955133845939
0.72,-0.912596499954401,-1.53129033101813,-1.05204324377765
0.735,-0.883951158911487,-1.54659328359022,-1.02426291907846
0.75,-0.855225572554713,-1.56069139959193,-0.996242970681245
0.765,-0.826450702274543,-1.57358093926717,-0.968015828953429
0.78,-0.797657171111409,-1.5852594893353,-0.939613719395989
0.795,-0.768875226886322,-1.59572595992616,-0.911068634374041
0.81,-0.740134706346179,-1.60498057309355,-0.882412304504298
0.825,-0.711465000434477,-1.61302484488046,-0.853676169122849
0.84,-0.682895020752339,-1.61986156322632,-0.824891345558551
0.855,-0.65445316723896,-1.62549476417722,-0.796088597180844
0.87,-0.626167297072487,-1.62992970878806,-0.76729830039729
0.885,-0.598064694772141,-1.63317286275513,-0.738550410942038
0.9,-0.570172043471786,-1.63523188024452,-0.709874429906546
0.915,-0.542515397334399,-1.63611559273145,-0.681299370005357
0.93,-0.515120155085101,-1.63583400314984,-0.652853722541472
0.945,-0.488011034654357,-1.63439828551844,-0.624565425451486
0.96,-0.46121204893886,-1.63182079076659,-0.59646183269419
0.975,-0.434746482701963,-1.62811506122225,-0.568569685124881
0.99,-0.408636870645531,-1.62329586025151,-0.540915082893702
1.005,-0.382904976690033,-1.61737923286678,-0.513523459333259
1.02,-0.357571774499713,-1.61038263714713,-0.486419556261815
1.035,-0.332657429286154,-1.60232525936669,-0.459627400618726
1.05,-0.308181280917958,-1.59322890656796,-0.433170282359602
1.065,-0.284161828358016,-1.58312144552639,-0.407070733559996
1.08,-0.260616715443984,-1.57206612000837,-0.381350508700155
1.095,-0.237562718022886,-1.55992320947931,-0.356030566123004
1.11,-0.21501573244445,-1.5467750878006,-0.33113105068099
1.125,-0.192990765412754,-1.53270441102944,-0.306671277607932
