Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9
0,0.376014129757157,-0.330466923787276,0.114187315417414,0.445640977207987,0.0986534238197374,-0.487606759742898,-0.00448778849610509,-0.484569132771345
0.015,0.377222461024202,-0.330509768814486,0.114391549346215,0.445640977207987,0.100973019989006,-0.487698744387039,-0.00409475591417421,-0.484569132771345
0.03,0.382354546670073,-0.325623247005389,0.117437334804821,0.44716595799006,0.110983480597463,-0.478187590727308,0.00182995349731027,-0.481603524376687
0.045,0.386670988831871,-0.32130066923456,0.121796446575851,0.45185686730794,0.119516723953518,-0.46966182721728,0.0104073836761483,-0.472400486436918
0.06,0.390781940696733,-0.317145934217293,0.125985305341567,0.456070070262261,0.127756946742227,-0.461353620135093,0.0187640756683482,-0.464014908061155
0.075,0.394533328684532,-0.313327308857678,0.129863188856549,0.459998736610565,0.135380564505044,-0.45361227749494,0.0266065545954183,-0.456088752477034
0.09,0.397816681596656,-0.30996165347761,0.133305207960943,0.463510647215512,0.142144835442847,-0.446695800341729,0.0336624149254813,-0.448907322118492
0.105,0.400574930016688,-0.307114654058783,0.136237055803805,0.466522915454756,0.147904596276181,-0.440765990311409,0.0397533948779447,-0.442665066502858
0.12,0.402799808819904,-0.304802314608923,0.138634775544705,0.469003459034661,0.152612581606982,-0.435885863440635,0.0448004667530845,-0.437457198621273
0.135,0.404523389432288,-0.302998592732757,0.140518026699955,0.470965227827928,0.156306988654925,-0.432030200746369,0.0488152846127989,-0.433286152335491
0.15,0.405806122718883,-0.301646947977464,0.141939023938598,0.472455707221575,0.159090348828314,-0.429105552536711,0.0518814495085021,-0.430078907253605
0.165,0.406723924616968,-0.300673255770353,0.14296969428753,0.473544219284,0.161104569206414,-0.426974888994067,0.0541303117855504,-0.42771058703551
0.18,0.40735646325511,-0.299997838196607,0.143689380203561,0.474309415273958,0.16250671718771,-0.425482210567557,0.0557160828893761,-0.426029502056593
0.195,0.4077781096147,-0.299545020653452,0.144174803808004,0.474828793292935,0.163449022604259,-0.424473422092515,0.0567941595270122,-0.424879544298195
0.21,0.408052210485877,-0.299249422842234,0.144493217811772,0.475171300848373,0.164065068988339,-0.423811238411145,0.0575051502724733,-0.424117191383925
0.225,0.408228615590644,-0.299058942300705,0.144698899993773,0.475393298820897,0.164462632140237,-0.423383424454864,0.0579655473754968,-0.423621925944641
0.24,0.408343860763634,-0.298934956749331,0.14483254377861,0.475537524983929,0.164722393568509,-0.423104965163456,0.0582646377273697,-0.423300275450501
0.255,0.408423126091196,-0.298850596319805,0.144922730826233,0.475634287020557,0.164900968859312,-0.422915627348974,0.0584663024964848,-0.423084697618984
0.27,0.408483040526954,-0.298788020523807,0.144988549979277,0.475703954458332,0.165036379475637,-0.422774764218569,0.0586138878002381,-0.422929083240342
0.285,0.408534539104315,-0.298735525708976,0.145042508478365,0.475759870987147,0.165154197313944,-0.422655173825218,0.0587363035314088,-0.422802741283096
0.3,0.408585221589856,-0.298685078688989,0.145093096639826,0.475811006920363,0.16527298286279,-0.422537469874647,0.0588538176338332,-0.422684467684879
0.315,0.408640938292364,-0.298630596433469,0.145146640110378,0.47586394006053,0.165408177712282,-0.422405898390307,0.0589825191882395,-0.422557815494837
0.33,0.408706576663602,-0.298567034966538,0.145208337853375,0.475924022087494,0.165574162886826,-0.422245975704501,0.0591369855051406,-0.422408123290935
0.345,0.408786202100643,-0.298490158906311,0.145282587826739,0.4759958049255,0.16578465235011,-0.422043845969287,0.0593311841356529,-0.422221343802167
0.36,0.408882802352803,-0.298396751513868,0.145372828608932,0.476082939855561,0.166051894168642,-0.421786923189115,0.0595780024847652,-0.421984329305983
0.375,0.408997898377487,-0.298285000291318,0.14548116234004,0.476187815168802,0.166385278868992,-0.421465229190746,0.0598879775853414,-0.42168601575222
0.39,0.409131252423278,-0.298154816773469,0.14560800857768,0.476311184607229,0.166789995877004,-0.421072775435316,0.0602678803981066,-0.421318871169386
0.405,0.409280768840429,-0.298007976793031,0.145751926828445,0.476451956451344,0.167265993246301,-0.420608690012428,0.0607195225705107,-0.420880135925023
0.42,0.409442685866947,-0.297847974982553,0.145909710684861,0.476607232980624,0.167807730461747,-0.420077595585093,0.0612392320777389,-0.420372501656071
0.435,0.409611993479178,-0.297679641253053,0.146076735824149,0.47677262083077,0.168404622196832,-0.419489283343033,0.0618180648364622,-0.419804014790772
0.45,0.409783005565645,-0.297508587000613,0.146247491623377,0.47694273681243,0.169042114374319,-0.418857729186661,0.0624426874633155,-0.419187302498015
0.465,0.40994998046495,-0.297340584956067,0.146416197673486,0.477111817409519,0.169703172865615,-0.418199656825257,0.0630967538846788,-0.418538264863545
0.48,0.410107689642527,-0.297180985273894,0.146577400477508,0.477274325601825,0.17036992740556,-0.417532902114971,0.0637625248131412,-0.417874479845355
0.495,0.410251858287678,-0.297034249094919,0.146726464379629,0.477425464698789,0.171025226525008,-0.416874828385923,0.0644224759931709,-0.417213578098637
0.51,0.410379435645973,-0.29690364778833,0.146859902533279,0.47756153908394,0.171653913377493,-0.416240993945904,0.0650606836307435,-0.416571808886349
0.525,0.410488687887859,-0.29679114068914,0.146975529295564,0.477680137313,0.172243707993983,-0.415644199537468,0.0656638460359962,-0.415962951031954
0.54,0.410579135236929,-0.296697413841196,0.147072446994158,0.477780145673804,0.172785660202201,-0.415093964187493,0.0662218800352116,-0.415397643623153
0.555,0.410651373886131,-0.296622041607439,0.147150902463288,0.477861624512292,0.173274204670944,-0.414596407979466,0.0667281030183479,-0.414883136778803
0.57,0.410706830894415,-0.296563723521206,0.147212060091492,0.47792559285525,0.173706896505236,-0.41415446958652,0.0671790657980866,-0.414423405003348
0.585,0.410747498201597,-0.296520549351243,0.147257739064309,0.477973769417007,0.174083929662956,-0.413768358731078,0.0675741329968457,-0.414019530227674
0.6,0.410775683038377,-0.296490253303462,0.147290155548231,0.478008312255287,0.174407543214223,-0.413436137765917,0.0679149170133263,-0.413670248807452
0.615,0.410793799735637,-0.296470430206645,0.147311699083812,0.478031588407947,0.174681407326841,-0.413154337495393,0.0682046631031388,-0.413372562673244
0.63,0.410804215304633,-0.296458699273863,0.147324759673541,0.478045992101432,0.174910058357822,-0.41291853374923,0.0684476630177616,-0.413122333418027
0.645,0.410809150368348,-0.296452812233118,0.147331610482738,0.47805381823885,0.17509842680973,-0.412723836701257,0.0686487494677245,-0.412914802817279
0.66,0.410810629249326,-0.296450710934187,0.147334342236125,0.478057188539164,0.175251478060818,-0.412565269326611,0.0688128988324483,-0.412745008444229
0.675,0.410810468507672,-0.296450544577423,0.147334839821342,0.478058021593248,0.175373966737747,-0.412438031356631,0.0689449487032265,-0.412608084684568
0.69,0.410810291559889,-0.296450658801177,0.147334789073713,0.478058035103454,0.17547029258096,-0.412337659124563,0.069049421806609,-0.412499455481849
0.705,0.410811557440773,-0.296449568726297,0.147335701538472,0.478058768057112,0.175544438429176,-0.412260099820988,0.069130438806832,-0.412414935131763
0.72,0.410815593490174,-0.296445926502892,0.147338946372402,0.478061611741263,0.175599968413623,-0.41220172189635,0.0691916985488209,-0.412350758132278
0.735,0.410823624086966,-0.296438491634599,0.147345780729683,0.47806784058462,0.175640065167965,-0.412159283074839,0.0692365040959699,-0.41230355982184
0.75,0.41083679006686,-0.2964261098534,0.147357372455268,0.478078636255648,0.175667587482445,-0.412129875059708,0.0692678150298325,-0.412270327729268
0.765,0.410856155906973,-0.296407703855429,0.147374811380639,0.478095100917873,0.175685133345301,-0.41211086059297,0.0692883097744164,-0.412248340409915
