Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11
0,-0.434644246774644,0.425445932003821,-0.387833645556286,-0.247406682903648,0.0871486955329814,0.295656104254943,-0.242201985701594,-0.459399283063663,0.0557333516635836,0.100848348404559
0.015,-0.434700739136219,0.425398153827214,-0.38787737871674,-0.247406682903648,0.0871486955329814,0.295551277551393,-0.242291889859996,-0.45948344418748,0.0557333516635836,0.100848348404559
0.03,-0.434874811472614,0.425223910865794,-0.388051390790485,-0.247574445254579,0.087045662930159,0.295210255953478,-0.242632466143962,-0.459822800890882,0.0554068898730275,0.100648025844352
0.045,-0.435032295986996,0.42506503405932,-0.388211273239234,-0.247734931452804,0.0868849907419205,0.294897728400491,-0.242947015082752,-0.460138602805901,0.0550906284052275,0.100332120700273
0.06,-0.435179861348237,0.424915087359405,-0.388363278524142,-0.24788865321683,0.0867299117459809,0.294600777512314,-0.24324803068541,-0.460443021839254,0.0547835011672085,0.100023010603484
0.075,-0.435312414309685,0.424779456089432,-0.388501741103051,-0.248029678840251,0.0865866118912004,0.294330312945288,-0.243524091548981,-0.46072415421479,0.0544978610696004,0.0997334638026974
0.09,-0.435426684956486,0.424661734925393,-0.388622743761628,-0.248153772923112,0.0864596372608129,0.294093917425878,-0.243767006568772,-0.460973211774427,0.0542430780557514,0.0994734116822851
0.105,-0.435521292562571,0.424563613557841,-0.388724281814452,-0.248258611321353,0.0863516342469569,0.29389551373061,-0.243972241931749,-0.461185044307155,0.0540249208668515,0.0992492402595561
0.12,-0.43559654458466,0.42448504170148,-0.388806136530851,-0.248343695472428,0.0862633909106144,0.293735574725289,-0.244138788366053,-0.461358087839926,0.0538455241176596,0.0990636681749673
0.135,-0.43565406174043,0.424424582742563,-0.388869545548196,-0.248410049656612,0.0861941101075235,0.293611729986335,-0.244268606922733,-0.461493867753615,0.053703823018773,0.0989161145724326
0.15,-0.435696319327796,0.424379866114332,-0.38891675935909,-0.248459788987211,0.0861418272824792,0.293519606516192,-0.244365812281993,-0.461596211120964,0.0535963069280373,0.0988034134184194
0.165,-0.435726189550839,0.42434805128743,-0.388950572996073,-0.248495648881816,0.0861038809823503,0.29345373439763,-0.244435764744649,-0.461670340642801,0.0535179189969392,0.0987207020965054
0.18,-0.435746550571687,0.424326233793616,-0.388973906208678,-0.248520552844303,0.086077355935677,0.293408372421214,-0.244484221780048,-0.461722006483374,0.0534629407119862,0.0986623187693412
0.195,-0.4357600020935,0.424311749094922,-0.388989480693152,-0.248537271463884,0.0860594414919302,0.293378152764166,-0.244516658027993,-0.461756772685158,0.0534257371001634,0.0986225770019723
0.21,-0.435768700622253,0.424302357060928,-0.388999615794295,-0.248548198314042,0.0860476754043545,0.293358495544216,-0.244537811245134,-0.461779524015611,0.053401288366982,0.0985963350509635
0.225,-0.435774304943652,0.424296313322129,-0.389006139773892,-0.248555243366149,0.0860400686720538,0.293345792726807,-0.244551461932458,-0.461794208438408,0.0533854851030961,0.0985793290936588
0.24,-0.435778006833259,0.424292350529178,-0.389010395775243,-0.24855982540881,0.0860351273917163,0.29333739854216,-0.244560414610677,-0.461803788668327,0.0533752077556308,0.098568284914372
0.255,-0.435780614726613,0.42428960115449,-0.389013311690773,-0.248562933731389,0.0860318001008012,0.293331486048622,-0.244566623684321,-0.461810348744143,0.0533682410245677,0.0985608548972434
0.27,-0.435782658383591,0.424287494297953,-0.389015501143266,-0.24856522612991,0.08602938352479,0.293326836189446,-0.244571397661967,-0.461815289882502,0.0533630880363499,0.0985554438974389
0.285,-0.435784488571931,0.424285653739961,-0.389017367172578,-0.248567133778014,0.086027417109216,0.293322619045941,-0.244575620201034,-0.461819552531074,0.0533587486273909,0.0985509892587816
