Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
0,1,1,1,1,1,1,1,1,1
0.01,1,1,1,1,1,1,1,1,1
0.02,0.999999999999975,0.999999999999952,0.999999999999996,1,1.00000000000001,0.999999999999998,0.999999999999999,0.999999999999994,0.999999999999992
0.03,0.999999999999834,0.999999999999701,0.99999999999997,1.00000000000002,1.00000000000005,0.999999999999982,0.999999999999991,0.999999999999962,0.999999999999943
0.04,0.999999999999551,0.999999999999226,0.999999999999916,1.00000000000006,1.00000000000016,0.999999999999945,0.999999999999975,0.999999999999893,0.99999999999984
0.05,0.999999999999177,0.999999999998636,0.999999999999839,1.00000000000012,1.00000000000031,0.999999999999886,0.999999999999953,0.999999999999797,0.999999999999697
0.06,0.999999999998768,0.999999999998022,0.999999999999752,1.00000000000019,1.00000000000049,0.999999999999807,0.999999999999929,0.999999999999686,0.999999999999534
0.07,0.999999999998371,0.999999999997447,0.999999999999664,1.00000000000025,1.00000000000068,0.999999999999716,0.999999999999906,0.999999999999574,0.999999999999369
0.08,0.999999999998018,0.999999999996953,0.999999999999583,1.00000000000031,1.00000000000085,0.999999999999621,0.999999999999886,0.999999999999472,0.999999999999217
0.09,0.99999999999773,0.999999999996559,0.999999999999516,1.00000000000036,1.00000000000101,0.99999999999953,0.99999999999987,0.999999999999385,0.99999999999909
0.1,0.999999999997513,0.999999999996269,0.999999999999464,1.0000000000004,1.00000000000113,0.99999999999945,0.999999999999859,0.999999999999319,0.999999999998993
0.11,0.999999999997366,0.999999999996075,0.999999999999428,1.00000000000042,1.00000000000122,0.999999999999387,0.999999999999851,0.999999999999273,0.999999999998925
0.12,0.99999999999728,0.999999999995963,0.999999999999407,1.00000000000044,1.00000000000128,0.999999999999345,0.999999999999848,0.999999999999246,0.999999999998885
0.13,0.999999999997244,0.999999999995918,0.999999999999398,1.00000000000044,1.0000000000013,0.999999999999325,0.999999999999846,0.999999999999235,0.999999999998868
0.14,0.999999999997248,0.999999999995923,0.999999999999399,1.00000000000044,1.0000000000013,0.999999999999328,0.999999999999846,0.999999999999236,0.99999999999887
0.15,0.999999999997281,0.999999999995964,0.999999999999407,1.00000000000044,1.00000000000127,0.999999999999352,0.999999999999847,0.999999999999246,0.999999999998886
0.16,0.999999999997333,0.99999999999603,0.99999999999942,1.00000000000043,1.00000000000124,0.999999999999396,0.999999999999848,0.999999999999263,0.999999999998911
0.17,0.999999999997399,0.999999999996111,0.999999999999436,1.00000000000043,1.00000000000119,0.999999999999457,0.999999999999849,0.999999999999284,0.999999999998943
0.18,0.999999999997471,0.999999999996201,0.999999999999453,1.00000000000042,1.00000000000114,0.999999999999533,0.999999999999848,0.999999999999307,0.999999999998978
