Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
0,1,1,1,-1,-1,0.616564480417521,0.49970084432996,-0.463002528795198,-1
0.015,0.999999542719193,0.999999940965059,1.00000047355898,-1.00000422035953,-1.00000054477903,0.616568851124936,0.499700931641879,-0.463002520138174,-1.00000009466635
0.03,0.999998882842653,0.999999870262259,1.00000118045873,-1.00001742809981,-1.000001831174,0.616583209238669,0.499701395323122,-0.463002540550771,-1.00000070570381
0.045,0.999998888594574,0.999999868627411,1.00000117065035,-1.00002889469028,-1.00000242693636,0.616596521421127,0.499703596900938,-0.463002478874583,-1.00000334663779
0.06,0.999999563670932,0.999999876689927,1.00000034330958,-1.00004122522801,-1.00000250636082,0.616611742587032,0.499706564514021,-0.463002537717287,-1.00000713596515
0.075,1.00000096025343,0.999999828129697,0.999998526335446,-1.00005375866123,-1.00000197357811,0.616628205426507,0.499710385366869,-0.463002808334066,-1.00001232926306
0.09,1.00000303217772,0.999999648838606,0.999995657720841,-1.00006582917429,-1.00000081980486,0.616645093487238,0.499714904040865,-0.463003378862741,-1.00001887473223
0.105,1.00000564114617,0.999999275318596,0.999991807503203,-1.00007687118341,-0.999999126037671,0.616661570743556,0.499719827417144,-0.463004298440936,-1.00002648615948
0.12,1.00000858172911,0.999998671862051,0.999987174155026,-1.00008647460423,-0.999997045422533,0.616676879238574,0.499724772009657,-0.463005550270804,-1.00003465882082
0.135,1.00001161647013,0.999997841962214,0.9999820590111,-1.00009441080677,-0.999994773795823,0.616690419088705,0.499729345598945,-0.463007043095336,-1.0000427576637
0.15,1.00001451423713,0.999996830877956,0.999976822493924,-1.00010063039794,-0.999992514811407,0.616701801607611,0.499733233452813,-0.46300862801032,-1.00005015164491
0.165,1.0000170845938,0.999995718326138,0.999971829616436,-1.0001052374057,-0.999990446753344,0.616710870015882,0.499736260153856,-0.463010136678914,-1.00005635181953
0.18,1.00001920198682,0.999994602774682,0.999967394839955,-1.00010844713589,-0.999988697415838,0.616717686893782,0.49973840758351,-0.463011426719718,-1.00006110638484
0.195,1.0000208157594,0.999993581164014,0.999963737245003,-1.00011053652348,-0.999987331430675,0.616722492603324,0.499739787361548,-0.463012416112808,-1.00006442168451
0.21,1.0000219451746,0.99999272934024,0.999960955340205,-1.00011179601698,-0.99998635141669,0.616725643753916,0.499740583819428,-0.463013093769925,-1.00006650854311
0.225,1.00002266210274,0.999992088414421,0.999959026521247,-1.00011249070798,-0.999985710983695,0.616727544277564,0.499740992648431,-0.463013505311101,-1.00006768341497
0.24,1.00002306680742,0.999991660526624,0.999957830102408,-1.00011283560621,-0.999985334890039,0.616728582520999,0.499741176738469,-0.463013724516333,-1.0000682676771
0.255,1.00002326342648,0.99999141460445,0.999957186833193,-1.00011298624919,-0.99998514039618,0.616729085279822,0.499741248036113,-0.463013825191111,-1.00006851969612
0.27,1.0000233409087,0.999991299668587,0.999956903929101,-1.00011304226776,-0.999985054449088,0.616729294466592,0.499741271034878,-0.463013863902666,-1.00006861117219
0.285,1.00002336273588,0.999991261113871,0.999956814147763,-1.0001130591635,-0.999985023441324,0.61672936586415,0.499741276842954,-0.463013875650668,-1.0000686374948
0.3,1.00002336572168,0.999991254837612,0.999956800228714,-1.00011306295861,-0.999985015031082,0.61672938426331,0.499741277832696,-0.463013878081133,-1.00006864268087
0.315,1.00002336561849,0.999991255112265,0.999956800804162,-1.00011306338774,-0.999985013885298,0.616729386662301,0.499741277899039,-0.463013878279295,-1.00006864308614
0.33,1.00002336588823,0.999991254180914,0.999956798950781,-1.00011306320804,-0.999985014535081,0.616729385379598,0.499741277898398,-0.463013878277689,-1.00006864308273
0.345,1.00002336595098,0.999991253941212,0.999956798481925,-1.00011306317696,-0.999985014640398,0.61672938516933,0.499741277899448,-0.463013878282284,-1.00006864309153
0.36,1.0000233662122,0.999991252114996,0.999956795173731,-1.00011306368299,-0.999985011104159,0.616729391575448,0.499741277908379,-0.463013878369953,-1.00006864324597
0.375,1.00002336867619,0.999991226563847,0.999956750332055,-1.00011306466934,-0.999985000113259,0.616729410775021,0.499741277995927,-0.463013879893977,-1.00006864584866
0.39,1.00002337348521,0.999991121749034,0.9999565727949,-1.0001130654277,-0.999984980777569,0.616729443370354,0.499741278071295,-0.463013887678396,-1.0000686586939
0.405,1.00002337290799,0.999990840791523,0.999956113150169,-1.00011306529371,-0.999984960941905,0.616729475708853,0.499741277143559,-0.463013913655484,-1.00006870014014
0.42,1.00002334492522,0.999990245356932,0.999955171199025,-1.00011306553809,-0.999984963169307,0.616729472352836,0.499741271800335,-0.463013981831004,-1.00006880542535
0.435,1.00002324856982,0.999989163974265,0.999953515063407,-1.00011307207412,-0.99998502889504,0.61672937250736,0.499741253858494,-0.463014133314409,-1.0000690321119
