idx,yp,yy,mp,my,np,ny,epp,epy,ep,ey,up,uy,kpp,kpi,kpd,kyp,kyi,kyd,r,td,x
0,-30,0,-40.1070456591576,0,0,0,10.1070456591576,0,-40.1070456591576,0,0,0,80,0.4,8,80,0.4,8,0.245,0.243631085906024,-0.136891409397602
0.015,-30,0,-40.1586521220835,0.00562100632704788,-3003.15110013007,-1401.03837178801,10.1586521220835,-0.00562100632704788,2962.99244800799,1401.04399279433,14.3643396196461,0,80,0.4,8,80,0.4,8,2900.69105912727,8919.07007852196,-11269.8068577708
0.03,-30,0,-40.1166338974728,0.0590206051305053,-2233.7359497525,-975.915571889514,10.1166338974728,-0.0590206051305053,2193.61931585503,975.974592494644,14.5944348648741,-0.0470977943140013,80,0.4,8,80,0.4,8,1530.14288275204,7362.07206050378,-5206.32232108853
0.045,-30,0,-39.9336844123864,0.164929195872543,-2125.34520067716,-945.299301064673,9.93368441238639,-0.164929195872543,2085.41151626477,945.464230260546,14.6197181927206,-0.170530801903541,80,0.4,8,80,0.4,8,1399.13945744051,6407.33959202148,-4574.40693966842
0.06,-30,0,-39.6263010644037,0.319177356394622,-1992.01268827684,-897.68818049669,9.6263010644037,-0.319177356394622,1952.38638721243,898.007357853084,14.4573946914598,-0.366381467994969,80,0.4,8,80,0.4,8,1237.46935329883,5542.94294196618,-3938.63383934797
0.075,-30,0,-39.2149018013165,0.51623545470223,-1852.48334990726,-844.682472731059,9.21490180131654,-0.51623545470223,1813.26844810594,845.198708185761,14.1316763473736,-0.628569252369054,80,0.4,8,80,0.4,8,1076.43382940581,4784.71082794033,-3353.91639827171
0.09,-30,0,-38.722644374912,0.749436948498191,-1700.60416994127,-782.457345453004,8.72264437491196,-0.749436948498191,1661.88152556636,783.206782401503,13.6716611682371,-0.949181936909321,80,0.4,8,80,0.4,8,910.571047503265,4044.69884564892,-2782.67432763997
0.105,-30,0,-38.1742236402408,1.01123373764292,-1537.80901448163,-711.711578045695,8.17422364024078,-1.01123373764292,1499.63479084139,712.722811783338,13.1097058739278,-1.31879544166143,80,0.4,8,80,0.4,8,745.478965256955,3319.49962341865,-2233.97940503199
0.12,-30,0,-37.5946951113319,1.29347266844847,-1367.91773388577,-634.845263373076,7.59469511133193,-1.29347266844847,1330.32303877444,636.138736041524,12.4797866501781,-1.72683421083625,80,0.4,8,80,0.4,8,588.973503081978,2631.24736380967,-1728.36391002359
0.135,-30,0,-37.0083694527631,1.58768202933804,-1196.15506939682,-555.144108777954,7.00836945276307,-1.58768202933804,1159.14669994406,556.731790807292,11.8159122262236,-2.16195720368989,80,0.4,8,80,0.4,8,448.433242949679,2008.66128889171,-1286.25384734745
0.15,-30,0,-36.4378194102205,1.88535666940573,-1028.27225505562,-476.139064754156,6.43781941022047,-1.88535666940573,991.834435645398,478.024421423562,11.1506509249359,-2.61245378565159,80,0.4,8,80,0.4,8,329.060692187393,1475.4215791482,-920.907815086756
0.165,-30,0,-35.9030354622489,2.17823064558515,-869.752555050897,-401.078762491278,5.90303546224888,-2.17823064558515,833.849519588648,403.256993136863,10.5138279779118,-3.0666336983314,80,0.4,8,80,0.4,8,233.098203283054,1043.78218289292,-635.635176821054
