Var1,Var2,Var3,Var4
0,0.245399643090162,-0.872924215107533,-0.252980933537975
0.015,0.245399720630743,-0.872925619656242,-0.252981039223929
0.03,0.245399944996812,-0.872929947139363,-0.252981315280139
0.045,0.245400151502139,-0.872934406980898,-0.252981532922573
0.06,0.245400351468954,-0.872939411885016,-0.252981711379268
0.075,0.245400535342743,-0.872945011011022,-0.252981847730094
0.09,0.245400696126191,-0.872951441588574,-0.252981943947903
0.105,0.245400830041054,-0.872959584495878,-0.252982005659479
0.12,0.245400936414334,-0.872975055735043,-0.252982040429183
0.135,0.245401017063488,-0.872980229448527,-0.252982056150921
0.15,0.245401075457238,-0.872975007361984,-0.252982059866071
0.165,0.245401115864965,-0.872973170416559,-0.252982057102025
0.18,0.245401142632501,-0.872972361445846,-0.252982051684142
0.195,0.245401159679557,-0.872971978829661,-0.252982045894122
0.21,0.24540117021887,-0.872971791960927,-0.252982040819752
0.225,0.245401176672166,-0.87297169791575,-0.252982036758431
0.24,0.245401180730394,-0.872971647941855,-0.252982033573009
0.255,0.245401183500031,-0.872971618525534,-0.252982030941636
0.27,0.245401185681689,-0.872971598216409,-0.252982028483778
0.285,0.245401187738073,-0.872971581213182,-0.25298202577744
0.3,0.24540119002246,-0.872971564243531,-0.252982022304967
0.315,0.245401192854236,-0.872971545158692,-0.252982017375104
0.33,0.245401196542237,-0.87297152241898,-0.252982010066725
0.345,0.24540120136774,-0.872971495000029,-0.252981999227043
0.36,0.245401207545242,-0.872971462444315,-0.252981983537847
0.375,0.245401215180271,-0.872971424906395,-0.252981961642911
0.39,0.245401224239923,-0.872971383124857,-0.252981932313224
0.405,0.24540123454538,-0.872971338310504,-0.252981894617703
0.42,0.245401245788435,-0.872971291973559,-0.252981848066841
0.435,0.245401257567821,-0.872971245726635,-0.252981792704037
0.45,0.245401269437224,-0.87297120109981,-0.252981729131349
0.465,0.245401280955602,-0.872971159394951,-0.252981658469633
0.48,0.245401291731451,-0.872971121593526,-0.252981582264431
0.495,0.24540130145524,-0.872971088319821,-0.252981502356641
0.51,0.245401309917331,-0.872971059852016,-0.252981420740214
0.525,0.245401317011689,-0.872971036168146,-0.252981339428258
0.54,0.245401322727838,-0.872971017012246,-0.252981260345168
0.555,0.245401327134795,-0.872971001967207,-0.252981185257175
0.57,0.245401330361028,-0.872970990523769,-0.25298111574849
0.585,0.245401332574035,-0.872970982138791,-0.252981053246509
0.6,0.245401333962308,-0.872970976279409,-0.252980999098611
0.615,0.245401334721358,-0.872970972452587,-0.252980954706604
0.63,0.245401335044472,-0.872970970221571,-0.252980921735962
0.645,0.245401335118091,-0.872970969211823,-0.252980902442682
0.66,0.245401335121097,-0.872970969109438,-0.25298090022035
0.675,0.245401335227039,-0.872970969654835,-0.252980920622417
0.69,0.245401335608196,-0.872970970634114,-0.252980973565041
0.705,0.24540133644042,-0.872970971869856,-0.252981079051301
0.72,0.245401337907822,-0.872970973212622,-0.252981286917527
0.735,0.245401340206472,-0.872970974533908,-0.252981797572992
0.75,0.245401343546501,-0.87297097572093,-0.252982689464114
0.765,0.245401348152137,-0.872970976673344,-0.252981742670336
0.78,0.245401354259504,-0.872970977301749,-0.252981283436974
0.795,0.245401362112118,-0.872970977527676,-0.252980954357089
0.81,0.245401371954522,-0.872970977284659,-0.252980688127764
0.825,0.245401384024608,-0.872970976519877,-0.252980460189236
0.84,0.245401398545473,-0.872970975195876,-0.252980259025565
0.855,0.245401415717837,-0.872970973291903,-0.252980078448382
0.87,0.245401435714085,-0.872970970804474,-0.252979914820912
0.885,0.245401458674943,-0.872970967746946,-0.252979765844916
0.9,0.2454014847096,-0.872970964148026,-0.252979629957027
0.915,0.245401513899829,-0.872970960049272,-0.252979506001078
0.93,0.245401546308341,-0.872970955501824,-0.252979393041114
0.945,0.245401581991327,-0.87297095056267,-0.2529792902533
0.96,0.245401621014907,-0.872970945290776,-0.252979196865403
0.975,0.245401663475136,-0.872970939743452,-0.252979112126265
0.99,0.245401709521329,-0.872970933973208,-0.252979035294368
1.005,0.245401759382734,-0.872970928025321,-0.252978965638191
1.02,0.245401813399192,-0.872970921936215,-0.252978902443244
1.035,0.24540187205724,-0.872970915732658,-0.252978845022116
1.05,0.245401936034415,-0.872970909431717,-0.252978792725056
1.065,0.245402006256453,-0.872970903041364,-0.252978744949445
1.08,0.245402083975191,-0.872970896561578,-0.252978701147289
1.095,0.245402170880321,-0.872970889985826,-0.252978660830352
1.11,0.24540226926789,-0.872970883302768,-0.252978623572931
1.125,0.245402382307548,-0.872970876498097,-0.252978589012481
1.14,0.245402514490576,-0.872970869556424,-0.252978556848394
1.155,0.245402672431726,-0.872970862463125,-0.252978526839238
1.17,0.245402866426926,-0.8729708552061,-0.252978498798739
1.185,0.245403113826706,-0.872970847777372,-0.252978472590705
1.2,0.245403447558124,-0.87297084017447,-0.252978448123102
1.215,0.245403943531305,-0.872970832401537,-0.252978425341424
1.23,0.245404860625332,-0.872970824470088,-0.252978404221542
1.245,0.245421751726718,-0.872970816399395,-0.25297838476224
1.26,0.24541926410491,-0.872970808216442,-0.252978366977643
1.275,0.245418444540182,-0.872970799955481,-0.2529783508899
1.29,0.245417932997535,-0.872970791657206,-0.252978336522343
1.305,0.245417557269752,-0.8729707833675,-0.252978323893269
1.32,0.245417259400574,-0.872970775135987,-0.252978313010838
1.335,0.245417012832937,-0.87297076701437,-0.252978303869099
1.35,0.245416803200287,-0.872970759054709,-0.252978296445294
1.365,0.245416621851527,-0.872970751307717,-0.252978290698447
1.38,0.245416463157984,-0.872970743821186,-0.25297828656918
1.395,0.245416323228248,-0.872970736638625,-0.25297828398063
1.41,0.245416199232433,-0.872970729798149,-0.252978282840268
1.425,0.245416089020735,-0.872970723331686,-0.252978283042397
1.44,0.245415990896404,-0.872970717264486,-0.25297828447109
1.455,0.245415903475161,-0.872970711614932,-0.25297828700335
1.47,0.245415825595522,-0.872970706394632,-0.252978290512262
1.485,0.245415756260281,-0.872970701608734,-0.252978294869979
1.5,0.24541569459764,-0.872970697256435,-0.252978299950417
1.515,0.245415639834953,-0.87297069333161,-0.252978305631543
1.53,0.245415591280699,-0.872970689823531,-0.252978311797243
1.545,0.245415548311831,-0.872970686717615,-0.252978318338733
1.56,0.245415510364645,-0.872970683996172,-0.252978325155541
1.575,0.245415476927953,-0.872970681639121,-0.252978332156105
1.59,0.245415447537755,-0.872970679624641,-0.25297833925802
1.605,0.245415421772872,-0.872970677929764,-0.252978346388014
1.62,0.245415399251226,-0.872970676530883,-0.252978353481703
1.635,0.245415379626539,-0.872970675404177,-0.252978360483182
1.65,0.245415362585333,-0.872970674525974,-0.252978367344498
1.665,0.24541534784416,-0.872970673873026,-0.252978374025062
1.68,0.24541533514702,-0.872970673422735,-0.25297838049102
1.695,0.245415324262952,-0.872970673153311,-0.252978386714618
1.71,0.245415314983786,-0.872970673043895,-0.252978392673574
1.725,0.245415307122048,-0.872970673074632,-0.252978398350482
1.74,0.245415300509024,-0.872970673226717,-0.252978403732241
1.755,0.245415294992968,-0.872970673482416,-0.252978408809534
1.77,0.245415290437459,-0.872970673825058,-0.252978413576335
1.785,0.245415286719884,-0.87297067423902,-0.252978418029472
1.8,0.245415283730062,-0.87297067470969,-0.252978422168229
1.815,0.245415281368975,-0.87297067522343,-0.252978425993988
1.83,0.245415279547619,-0.872970675767525,-0.252978429509919
1.845,0.245415278185961,-0.872970676330132,-0.252978432720713
1.86,0.245415277211983,-0.872970676900225,-0.25297843563235
1.875,0.245415276560836,-0.87297067746755,-0.252978438251916
1.89,0.245415276174066,-0.87297067802257,-0.252978440587453
1.905,0.245415275998936,-0.87297067855643,-0.252978442647845
1.92,0.245415275987826,-0.872970679060925,-0.252978444442738
1.935,0.245415276097711,-0.872970679528471,-0.252978445982489
1.95,0.245415276289715,-0.872970679952097,-0.252978447278134
1.965,0.245415276528744,-0.872970680325442,-0.252978448341381
1.98,0.245415276783175,-0.872970680642765,-0.252978449184605
1.995,0.24541527702462,-0.87297068089896,-0.252978449820858
2.01,0.245415277227738,-0.872970681089591,-0.252978450263863
2.025,0.245415277370103,-0.872970681210916,-0.252978450528015
2.04,0.245415277432105,-0.872970681259933,-0.252978450628355
2.055,0.245415277396885,-0.872970681234414,-0.252978450580533
2.07,0.245415277250296,-0.872970681132942,-0.252978450400742
2.085,0.245415276980865,-0.872970680954937,-0.25297845010563
2.1,0.245415276579767,-0.872970680700685,-0.252978449712188
2.115,0.245415276040779,-0.872970680371335,-0.25297844923761
2.13,0.245415275360227,-0.872970679968902,-0.252978448699134
2.145,0.245415274536907,-0.872970679496239,-0.252978448113869
2.16,0.24541527357198,-0.872970678957003,-0.252978447498601
2.175,0.245415272468831,-0.872970678355593,-0.252978446869606
2.19,0.245415271232906,-0.872970677697083,-0.252978446242455
2.205,0.245415269871517,-0.872970676987135,-0.252978445631834
2.22,0.245415268393616,-0.872970676231896,-0.252978445051378
2.235,0.245415266809557,-0.872970675437899,-0.252978444513524
2.25,0.245415265130839,-0.872970674611942,-0.252978444029393
2.265,0.245415263369838,-0.872970673760981,-0.252978443608698
2.28,0.245415261539546,-0.872970672892012,-0.252978443259686
2.295,0.245415259653308,-0.872970672011966,-0.252978442989114
2.31,0.245415257724581,-0.872970671127604,-0.252978442802247
2.325,0.245415255766703,-0.872970670245434,-0.252978442702899
2.34,0.24541525379269,-0.872970669371627,-0.252978442693485
2.355,0.245415251815062,-0.872970668511952,-0.252978442775108
2.37,0.245415249845688,-0.872970667671729,-0.252978442947655
2.385,0.245415247895672,-0.872970666855789,-0.252978443209909
2.4,0.245415245975264,-0.872970666068449,-0.25297844355967
2.415,0.245415244093795,-0.872970665313501,-0.252978443993881
2.43,0.245415242259641,-0.872970664594213,-0.252978444508748
2.445,0.245415240480213,-0.872970663913335,-0.252978445099865
2.46,0.245415238761962,-0.872970663273117,-0.252978445762326
2.475,0.245415237110405,-0.87297066267533,-0.252978446490835
2.49,0.245415235530155,-0.872970662121295,-0.252978447279799
2.505,0.245415234024975,-0.872970661611913,-0.252978448123417
2.52,0.245415232597822,-0.872970661147691,-0.252978449015752
2.535,0.245415231250912,-0.872970660728783,-0.252978449950801
2.55,0.245415229985768,-0.872970660355011,-0.252978450922543
2.565,0.245415228803287,-0.872970660025903,-0.252978451924989
2.58,0.245415227703784,-0.872970659740713,-0.252978452952216
2.595,0.245415226687051,-0.872970659498453,-0.252978453998402
2.61,0.245415225752401,-0.872970659297912,-0.252978455057843
2.625,0.245415224898712,-0.872970659137677,-0.252978456124981
2.64,0.245415224124463,-0.872970659016151,-0.252978457194416
2.655,0.245415223427771,-0.872970658931572,-0.252978458260925
2.67,0.245415222806419,-0.872970658882025,-0.252978459319472
2.685,0.245415222257884,-0.872970658865455,-0.252978460365228
2.7,0.245415221779358,-0.872970658879681,-0.252978461393577
2.715,0.245415221367774,-0.872970658922409,-0.25297846240014
2.73,0.245415221019824,-0.872970658991243,-0.252978463380785
2.745,0.245415220731978,-0.872970659083698,-0.252978464331644
2.76,0.245415220500507,-0.872970659197212,-0.252978465249135
2.775,0.245415220321505,-0.872970659329165,-0.252978466129978
2.79,0.245415220190906,-0.872970659476888,-0.252978466971213
2.805,0.245415220104513,-0.872970659637685,-0.252978467770219
2.82,0.24541522005802,-0.872970659808849,-0.252978468524732
2.835,0.245415220047043,-0.872970659987681,-0.252978469232862
2.85,0.245415220067149,-0.87297066017151,-0.252978469893102
2.865,0.245415220113885,-0.872970660357713,-0.252978470504347
2.88,0.245415220182813,-0.87297066054374,-0.25297847106589
2.895,0.245415220269545,-0.872970660727128,-0.252978471577439
2.91,0.245415220369773,-0.872970660905532,-0.252978472039102
2.925,0.245415220479309,-0.872970661076735,-0.252978472451394
2.94,0.245415220594115,-0.872970661238674,-0.252978472815217
2.955,0.245415220710336,-0.872970661389453,-0.25297847313185
2.97,0.245415220824331,-0.872970661527362,-0.252978473402928
2.985,0.245415220932702,-0.872970661650888,-0.252978473630414
3,0.245415221032313,-0.872970661758724,-0.252978473816577
3.015,0.245415221120323,-0.872970661849786,-0.25297847396396
3.03,0.245415221194217,-0.872970661923231,-0.252978474075379
3.045,0.245415221251796,-0.872970661978435,-0.25297847415383
3.06,0.245415221291133,-0.872970662014944,-0.252978474202398
3.075,0.245415221310571,-0.87297066203247,-0.252978474224231
3.09,0.245415221308712,-0.872970662030882,-0.252978474222516
3.105,0.245415221284421,-0.872970662010204,-0.252978474200466
3.12,0.245415221236814,-0.872970661970613,-0.252978474161296
3.135,0.245415221165262,-0.872970661912432,-0.252978474108215
3.15,0.245415221069382,-0.872970661836127,-0.252978474044402
3.165,0.245415220949034,-0.872970661742305,-0.252978473972991
3.18,0.245415220804318,-0.872970661631706,-0.252978473897056
3.195,0.24541522063557,-0.8729706615052,-0.252978473819592
3.21,0.245415220443352,-0.872970661363778,-0.252978473743494
3.225,0.245415220228444,-0.872970661208549,-0.25297847367154
3.24,0.24541521999184,-0.872970661040725,-0.252978473606374
3.255,0.24541521973473,-0.872970660861614,-0.252978473550485
3.27,0.245415219458493,-0.872970660672612,-0.252978473506189
3.285,0.245415219164677,-0.872970660475183,-0.252978473475612
3.3,0.245415218854983,-0.87297066027085,-0.252978473460671
3.315,0.245415218531251,-0.872970660061182,-0.252978473463065
3.33,0.245415218195432,-0.872970659847773,-0.252978473484256
3.345,0.245415217849571,-0.872970659632229,-0.252978473525462
3.36,0.245415217495785,-0.872970659416151,-0.252978473587649
3.375,0.245415217136235,-0.872970659201121,-0.252978473671523
3.39,0.245415216773103,-0.872970658988679,-0.252978473777533
3.405,0.245415216408572,-0.872970658780315,-0.252978473905868
3.42,0.245415216044797,-0.872970658577447,-0.252978474056461
