Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9
0,-0.159230949145486,-0.49033127187563,0.347391445453365,-0.322989070340106,-0.0622456991783519,-0.349229518260236,0.0341853165887982,0.212467596117611
0.015,-0.159230259852263,-0.490330974240549,0.347391570402991,-0.322989057385251,-0.0621688900256033,-0.349198413075924,0.0341984971853667,0.212467517032396
0.03,-0.159229778739167,-0.4903301431501,0.347392303324924,-0.32298865340753,-0.0616378722261822,-0.348766633506231,0.0345133849787798,0.21260672457992
0.045,-0.159229639809445,-0.490330018277861,0.347392428645654,-0.322988398644305,-0.0613258907616615,-0.348463295273046,0.034817748606003,0.212994025021137
0.06,-0.159225427645512,-0.490326454335863,0.347395359672687,-0.32298608453382,-0.0609910806666601,-0.348131600343648,0.0351451756029871,0.213317275974131
0.075,-0.159212827016646,-0.490315225870906,0.347405220161141,-0.322977577164981,-0.0606507645083464,-0.347791124757986,0.0354847543059979,0.213654907991401
0.09,-0.15918773354472,-0.490292138682479,0.347426263074691,-0.322958601677994,-0.0603231130788143,-0.347460388737164,0.0358176296814973,0.213988944249702
0.105,-0.159147305240053,-0.490254092000376,0.347461822532896,-0.322925616898056,-0.0600235648399912,-0.347155413850423,0.0361272461346176,0.21430237416963
0.12,-0.159090813625451,-0.490199976670961,0.347513374039305,-0.322876797743697,-0.0597632956887625,-0.346888156745571,0.0364008941886902,0.214581768804209
0.135,-0.159020086103465,-0.490131197045086,0.347579937556608,-0.322812701708214,-0.0595485072185047,-0.34666566377622,0.0366306869717035,0.21481840934588
0.15,-0.158939403301929,-0.490051662914986,0.347657992202761,-0.322736445727494,-0.0593804919043438,-0.346490013041259,0.0368137445081241,0.215008601303805
0.165,-0.158854837566505,-0.489967215759455,0.347741959645731,-0.322653315073009,-0.0592563480083316,-0.346358933386623,0.0369516758897691,0.215153262918755
0.18,-0.158773157640392,-0.489884591356794,0.347825177128333,-0.322569860451283,-0.0591701420825163,-0.346266908523357,0.0370495400334625,0.215256957142766
0.195,-0.158700549020342,-0.489810150362564,0.347901147606927,-0.322492675799553,-0.0591142748319155,-0.346206526468814,0.0371145195828031,0.215326595725608
0.21,-0.158641468190962,-0.489748689122307,0.347964763067559,-0.322427150211133,-0.0590808014328002,-0.346169823285274,0.0371545601439855,0.215370067866928
0.225,-0.158597927633639,-0.489702637924735,0.348013186450419,-0.322376513040382,-0.0590624947375526,-0.346149400368309,0.0371772036753599,0.215395029284719
0.24,-0.158569390971798,-0.489671851068738,0.348046165087223,-0.322341419523243,-0.0590535172515755,-0.346139166058564,0.0371887794354833,0.215408028340493
0.255,-0.158553276964782,-0.489654019170717,0.348065714045084,-0.322320168785551,-0.0590496699546233,-0.346134652158941,0.0371940191067731,0.215414052628776
0.27,-0.158545890135099,-0.489645548526224,0.34807529600111,-0.322309457334686,-0.0590482848172869,-0.346132957466437,0.0371960593303785,0.215416475044437
0.285,-0.158543479205634,-0.489642621579089,0.348078767825053,-0.322305416344856,-0.0590478935195737,-0.346132443176568,0.0371967157201605,0.215417293479461
0.3,-0.15854310853612,-0.489642119150745,0.348079414800727,-0.322304613265174,-0.0590478210042908,-0.346132329578395,0.0371968795181208,0.215417517255416
0.315,-0.158543106816123,-0.489642150355898,0.3480793430015,-0.32230473294397,-0.0590478234592446,-0.346132320792205,0.0371969038768047,0.215417562004431
0.33,-0.158542993366335,-0.489642066070601,0.348079378023929,-0.322304766678212,-0.0590478363075524,-0.34613233273087,0.0371968951943547,0.215417559356096
0.345,-0.158542927600531,-0.489641978573135,0.348079471170565,-0.322304683770584,-0.0590478425789117,-0.346132343025775,0.0371968820555911,0.215417545019236
0.36,-0.15854284329766,-0.489641932852932,0.348079485151427,-0.322304694600897,-0.0590478325939244,-0.346132338880325,0.0371968802049493,0.215417537517296
0.375,-0.158541495479677,-0.48964095029498,0.348080147246504,-0.322304307042257,-0.0590478086386342,-0.346132317844969,0.0371968966857804,0.215417548270758
0.39,-0.158535658305872,-0.489636185200926,0.348083928838991,-0.322301416475394,-0.0590477910270171,-0.346132296313996,0.0371969195645453,0.215417570253552
0.405,-0.158519672441397,-0.489622402380984,0.348095634401635,-0.322291653842653,-0.0590477977493188,-0.346132294742675,0.0371969272829942,0.215417582117263
0.42,-0.158485462383127,-0.489591911254466,0.34812255014161,-0.322268155200579,-0.0590477906372477,-0.346132289048635,0.0371969316831103,0.2154175853515
0.435,-0.158423046714242,-0.489534996168666,0.348174095839452,-0.322221825895323,-0.0590475994953613,-0.346132136966906,0.0371970487963696,0.215417671598427
0.45,-0.158321468792343,-0.489440785343942,0.34826102195925,-0.322142073316522,-0.0590468471213433,-0.346131500996147,0.0371975772860047,0.215418101775095
0.465,-0.158170001612485,-0.489298422348022,0.348394276962283,-0.322017895426937,-0.0590449006572172,-0.346129793596647,0.0371990588845933,0.21541937157965
0.48,-0.157959440800112,-0.489098358098005,0.348583721714379,-0.321839154388316,-0.0590408691461696,-0.346126165925338,0.0372022982756956,0.215422239724379
0.495,-0.157683295888003,-0.488833571832264,0.348836883424455,-0.321597842877983,-0.0590336562977016,-0.346119551163936,0.0372083293569195,0.215427703888384
0.51,-0.157338715398448,-0.488500550686402,0.349157924908332,-0.321289162412885,-0.0590220647488396,-0.346108760848136,0.0372183273186562,0.215436921638326
0.525,-0.156927024959387,-0.488099898912449,0.349546966181994,-0.320912268818683,-0.0590049366118731,-0.346092620722943,0.0372334781863549,0.21545108604953
0.54,-0.156453810149009,-0.487636499326578,0.349999844893297,-0.320470589238987,-0.0589813069274475,-0.346070123814491,0.0372548269455868,0.215471275837995
0.555,-0.155928531504534,-0.487119205029243,0.350508346882578,-0.319971670061291,-0.0589505429238471,-0.346040573902724,0.0372831306554397,0.215498305871687
0.57,-0.15536371643645,-0.486560096573479,0.351060881051085,-0.319426572347416,-0.058912443018851,-0.346003692835207,0.0373187434952103,0.215532605272955
0.585,-0.15477383393492,-0.48597339989007,0.351643512856704,-0.318848891292407,-0.0588672742646235,-0.345959669432424,0.037361556989078,0.21557414730907
0.6,-0.154173969603727,-0.48537420946747,0.352241230845187,-0.318253513944474,-0.0588157430587109,-0.345909136771722,0.0374110082644663,0.215622444904433
0.615,-0.153577294243659,-0.484776281558456,0.352839942378382,-0.31765467441716,-0.0587591287912209,-0.345853249972144,0.0374660337471559,0.215676504346699
0.63,-0.152996645047248,-0.484192017866377,0.35342695838772,-0.31706545521093,-0.0586986266084257,-0.345793336877446,0.0375253261521576,0.215735071953385
0.645,-0.152441194460233,-0.483631685657362,0.353991725354558,-0.316496910285318,-0.0586356451589522,-0.345730696884512,0.0375875515468562,0.215796838021018
0.66,-0.15191745671494,-0.48310223415226,0.354526617916072,-0.315956905424148,-0.0585713506095601,-0.34566655027489,0.0376514904151547,0.215860504346566
0.675,-0.151428343283819,-0.48260711325954,0.355027638594042,-0.315450144766891,-0.0585067094636416,-0.345601914650751,0.037716079351994,0.215924998896248
0.69,-0.150973727876588,-0.482146679374901,0.355493931940577,-0.314977997958968,-0.0584423473255067,-0.345537476048256,0.0377805740981608,0.215989522418877
0.705,-0.150550982821647,-0.481718688480676,0.355927332656405,-0.31453906265349,-0.058378511870027,-0.345473545816064,0.0378445998581797,0.216053637537346
0.72,-0.150155635212247,-0.481318939816573,0.356331738974982,-0.314129771781691,-0.0583150799339053,-0.345410061095038,0.0379081575851681,0.216117282267732
0.735,-0.149782028144496,-0.48094194171696,0.356712445655105,-0.313745058301651,-0.0582515971945185,-0.345346619961407,0.0379715937723776,0.216180745119982
0.75,-0.149423911303103,-0.480581516348053,0.357075527404458,-0.313378981149333,-0.0581873372800117,-0.34528253802876,0.0380355467682954,0.216244614721298
0.765,-0.149074930241207,-0.480231305432251,0.357427317939347,-0.313025259998275,-0.0581213703822153,-0.345216915830013,0.0381008809482179,0.216309715862077
0.78,-0.148729021396819,-0.479885178771554,0.357773988433714,-0.312677709227514,-0.0580526369149589,-0.345148711584703,0.0381686150565359,0.216377039169102
0.795,-0.148380740804011,-0.479537571435315,0.358121202052636,-0.312330591392045,-0.0579800267587804,-0.345076819207496,0.0382398455955853,0.216447666051679
0.81,-0.148025555982536,-0.479183780100786,0.358473813487428,-0.311978921449452,-0.0579024670114055,-0.345000154329958,0.0383156627153122,0.216522686677659
0.825,-0.147660116363235,-0.478820237027079,0.358835592107947,-0.311618745780323,-0.0578190199847848,-0.344917750525142,0.0383970560376612,0.216603108112458
0.84,-0.147282495711302,-0.478444758890293,0.359208967718557,-0.31124740078886,-0.0577289889105681,-0.344828864074886,0.0384848112304142,0.216689752630597
0.855,-0.146892379451364,-0.478056746316863,0.359594819922431,-0.310863733440814,-0.0576320230220182,-0.344733079934176,0.0385794036662406,0.216783151510315
0.87,-0.146491158141136,-0.477657296408328,0.359992347418512,-0.310468249129946,-0.0575282084994388,-0.344630406111536,0.038680901140063,0.216883445405896
0.885,-0.146081889673263,-0.477249189607752,0.360399056780379,-0.310063146769618,-0.0574181291647418,-0.344521340539876,0.0387888912739321,0.216990306523736
