Var1,Var2,Var3,Var4
0,1.10827053805811,0.154721199717423,-1.12881507457987
0.015,1.07363288437027,0.10775893344332,-1.16194327124382
0.03,1.03808723278844,0.0608267585343992,-1.19409696769226
0.045,1.00167556494508,0.013413913357584,-1.22526629147996
0.06,0.964415993601772,-0.0339599487021827,-1.25542014767087
0.075,0.926343730864664,-0.0813975392302803,-1.28454475294931
0.09,0.887490744864165,-0.128855116745335,-1.31262289734808
0.105,0.847888738396558,-0.176271581589459,-1.33963648899332
0.12,0.807568745664849,-0.223570872548726,-1.36556552436379
0.135,0.766561137270637,-0.270668317960543,-1.39038785386838
0.15,0.724896122958556,-0.317480132259183,-1.41408007152805
0.165,0.682604606901424,-0.363933062784,-1.43661936503104
0.18,0.63971907967568,-0.409970865554647,-1.45798569650293
0.195,0.596274198423925,-0.45555548229192,-1.47816347725419
0.21,0.552306842755384,-0.500663025367197,-1.49714210357548
0.225,0.507855674778823,-0.545276805732405,-1.51491525734645
0.24,0.462960443005175,-0.589380492303764,-1.53147944159832
0.255,0.417661333416259,-0.63295371909616,-1.54683248158
0.27,0.371998570257353,-0.675970765026904,-1.56097255765006
0.285,0.326012295487064,-0.718401468091352,-1.57389792492995
0.3,0.279742627306965,-0.76021301049579,-1.58560711949415
0.315,0.233229769990644,-0.801371539056867,-1.59609933444695
0.33,0.186514092913804,-0.841843215440875,-1.60537473992274
0.345,0.13963615689202,-0.881594751787006,-1.61343467338268
0.36,0.0926367020790344,-0.920593645010841,-1.62028172829181
0.375,0.0455566203735427,-0.958808285545033,-1.62591979828401
0.39,-0.00156306978923936,-0.996208025315955,-1.63035412032739
0.405,-0.0486812369518214,-1.03276321418996,-1.6335913302309
0.42,-0.0957566395899383,-1.06844516636215,-1.63563950188185
0.435,-0.142747932307131,-1.10322600509806,-1.63650809056268
0.45,-0.189613699659507,-1.1370783707659,-1.63620766090678
0.465,-0.236312542603015,-1.16997506135733,-1.63474928332538
0.48,-0.282803228394214,-1.20188876727605,-1.63214354392534
0.495,-0.329044889713176,-1.23279210060225,-1.62839920404685
0.51,-0.374997234265846,-1.26265805914135,-1.62352159022445
0.525,-0.420620714541557,-1.29146091525656,-1.61751066833108
0.54,-0.46587661501414,-1.31917733923089,-1.61035820713277
0.555,-0.510727038195046,-1.34578743883254,-1.60204160871834
0.57,-0.555134802053119,-1.37127538381848,-1.5925042304373
0.585,-0.599063287870669,-1.39562940110075,-1.58155386351104
0.6,-0.642476291450964,-1.41884113913548,-1.57249584322074
0.615,-0.685337901262857,-1.44090441710617,-1.5602608173527
0.63,-0.72761238678948,-1.46181317239031,-1.54824371111768
0.645,-0.769264511816374,-1.48156265779374,-1.53494734634384
0.66,-0.810259425295954,-1.50014701010828,-1.52060675986417
0.675,-0.850562877211164,-1.51755989847376,-1.50530397700002
0.69,-0.890141310707856,-1.53379427982508,-1.48908856871094
0.705,-0.928961995200441,-1.54884304159144,-1.47199975205498
0.72,-0.966993113736108,-1.56269953693386,-1.45407261922852
0.735,-1.00420382285873,-1.57535805740351,-1.43534027674195
0.75,-1.04056429171716,-1.5868141831771,-1.41583474359709
0.765,-1.07604572828774,-1.5970650059585,-1.39558741329562
0.78,-1.11062039906177,-1.60610925066228,-1.37462933235163
0.795,-1.14426164616349,-1.61394733078237,-1.35299138064202
0.81,-1.17694390375691,-1.62058136651037,-1.33070438761064
0.825,-1.20864271424363,-1.62601518230914,-1.30779920369764
0.84,-1.23933474417191,-1.63025428783996,-1.28430674235583
0.855,-1.26899779977614,-1.63330583683651,-1.26025800587062
0.87,-1.2976108423732,-1.63517855509734,-1.2356841051608
0.885,-1.3251540041724,-1.63588263210053,-1.21061627936507
0.9,-1.3516086051681,-1.6354295797834,-1.18508591600974
0.915,-1.37695717154905,-1.63383207373079,-1.15912456818618
0.93,-1.40118345551153,-1.63110380226197,-1.13276396272078
0.945,-1.42427245569455,-1.62725935445073,-1.10603599346998
0.96,-1.44621043692513,-1.62231417891756,-1.07897269634876
0.975,-1.46698494778162,-1.61628464704219,-1.05160620640506
0.99,-1.48658483471734,-1.60918827430354,-1.02396870076384
1.005,-1.50500025203566,-1.60104424589415,-0.996092333443985
1.02,-1.52222266766459,-1.59187479592876,-0.968009168434603
1.035,-1.53824486523075,-1.58171038211987,-0.939751116247901
1.05,-1.55306094324321,-1.57063888780078,-0.911349877139096
1.065,-1.56666631224651,-1.55867435939357,-0.882836892087441
1.08,-1.57905769066637,-1.54550991303896,-0.854243301050983
1.095,-1.59023309926848,-1.53143214639791,-0.825599905863501
1.11,-1.60019185581429,-1.51644800581419,-0.796937139245821
1.125,-1.60893456803861,-1.50057802686193,-0.768285034137453
1.14,-1.61646312596806,-1.48384605301763,-0.739673194930759
1.155,-1.62278069303278,-1.46627750497551,-0.711130769092841
1.17,-1.62789169580308,-1.44789885881749,-0.68268641890736
1.185,-1.63180181221177,-1.4287374251273,-0.654368293297057
1.2,-1.63451795819364,-1.40882122848741,-0.626203999855392
1.215,-1.63604827275043,-1.38817892729762,-0.598220577290379
1.23,-1.63640210151688,-1.36683975154187,-0.570444468486067
1.245,-1.63558997894605,-1.34483344855625,-0.542901494342622
1.26,-1.63362360924302,-1.32219023186035,-0.515616828492514
1.275,-1.63051584615753,-1.29894073066236,-0.488614972933176
1.29,-1.6262806717177,-1.27511593921951,-0.461919734583802
1.305,-1.62093317398252,-1.25074716623781,-0.435554202771338
1.32,-1.61448952398037,-1.22586598502477,-0.40954072767218
1.335,-1.60696695235714,-1.20050418522497,-0.383900899767439
1.35,-1.59838372753928,-1.17469372677662,-0.3586555303965
1.365,-1.5887591430193,-1.14846669637224,-0.333824633505826
1.38,-1.57811356636334,-1.12185526633404,-0.309427408684911
1.395,-1.56646211925616,-1.09489165552756,-0.28548222556259
1.41,-1.55383598400935,-1.06760809176705,-0.262006609610256
1.425,-1.54025527911365,-1.04003677518192,-0.239017229374203
1.44,-1.52574334846562,-1.01220984216761,-0.216529885142721
1.455,-1.51032472164578,-0.984159329242763,-0.194559499015465
1.47,-1.49402473448889,-0.955917136944552,-0.173120106368652
1.485,-1.47686946368242,-0.927514993492165,-0.152224848679654
1.5,-1.4588856827715,-0.89898441825916,-0.131885967685133
1.515,-1.44010082192041,-0.870356685142433,-0.112114800848079
1.53,-1.42054292840724,-0.841662785969326,-0.0929217781131281
1.545,-1.40024062710771,-0.812933394117674,-0.0743164199340039
1.56,-1.37922308075552,-0.784198828538842,-0.0563073365611262
1.575,-1.35751994992229,-0.75548901837408,-0.0389022285809637
1.59,-1.3351613527128,-0.726833468342851,-0.022107888701161
1.605,-1.31217782419143,-0.698261225061236,-0.00593020477679988
1.62,-1.2886002755638,-0.669800844421796,0.00962583592677556
1.635,-1.26445995314235,-0.641480360135807,0.0245561412401807
1.65,-1.23978839712746,-0.613327253506092,0.0388575073730081
1.665,-1.21461740023924,-0.585368424465361,0.052527610984538
1.68,-1.18897896623931,-0.557630163882366,0.0655650000571726
1.695,-1.1629052683877,-0.530138127108354,0.0779690835926303
1.71,-1.13642860788743,-0.502917308711912,0.0897401201565799
1.725,-1.10958137237789,-0.475992018334418,0.100879205303368
1.74,-1.08239599454735,-0.449385857593687,0.111388257918198
1.755,-1.0549049109435,-0.423121697972001,0.121270005519001
1.77,-1.02714052106728,-0.397221659646216,0.130527968563641
1.785,-0.99913514683833,-0.371707091249874,0.139166443809568
1.8,-0.970920992519523,-0.346598550595272,0.147190486772481
1.815,-0.942530105182239,-0.321915786421187,0.154605893328068
1.83,-0.913994335784901,-0.2976777212627,0.161419180497108
1.845,-0.885345300925365,-0.27390243555808,0.167637566449909
1.86,-0.856614345315087,-0.250607153110643,0.173268949762122
1.875,-0.827832505011468,-0.227808228011136,0.17832188795115
1.89,-0.799030471435703,-0.205521133101265,0.182805575321227
1.905,-0.770238556197968,-0.183760450026588,0.1867298201458
1.92,-0.741486656749829,-0.162539860892993,0.190105021218028
1.935,-0.712804222884946,-0.141872141510576,0.192942143803378
1.95,-0.684220224112375,-0.121769156185705,0.195252695031971
1.965,-0.65576311793093,-0.102241854007804,0.197048698771887
1.98,-0.627460819037094,-0.0833002665715238,0.198342670027671
1.995,-0.59934066950196,-0.0649535070754234,0.199147588910554
2.01,-0.571429409954555,-0.0472097707425511,0.199476874228424
2.025,-0.543753151809334,-0.0300763365138345,0.199344356744347
2.04,-0.516337350575182,-0.0135595699702851,0.198764252152772
2.055,-0.489206780282186,0.00233507255601758,0.197751133822433
2.07,-0.462385509061046,0.017603038719266,0.196319905354667
2.085,-0.435896875908667,0.0322406737798183,0.19448577300529
2.1,-0.409763468672126,0.0462452131371078,0.192264218017437
2.115,-0.384007103281676,0.0596147738005814,0.189670968911698
2.13,-0.358648804261644,0.072348344816272,0.18672197377859
2.145,-0.333708786545522,0.0844457766579169,0.183433372616784
2.16,-0.30920643861823,0.0959077695826806,0.179821469758749
2.175,-0.28516030700425,0.106735860944192,0.175902706423671
2.19,-0.261588082115449,0.116932411451436,0.17169363343585
2.205,-0.238506585466951,0.126500590362202,0.167210884145467
2.22,-0.215931758264237,0.135444359604868,0.162471147587709
2.235,-0.193878651359745,0.143768456831909,0.157491141915882
2.25,-0.172361416573418,0.15147837742143,0.152287588144129
2.265,-0.151393299368871,0.158580355457609,0.146877184235758
2.28,-0.130986632875221,0.165081343735149,0.141276579573578
2.295,-0.111152833244105,0.170988992845032,0.135502349849
2.31,-0.0919023963315418,0.176311629407649,0.129570972406713
2.325,-0.0732448956948589,0.181058233524272,0.123498802081392
2.34,-0.0551889818953969,0.18523841551871,0.117302047562086
2.355,-0.0377423830979732,0.188862392038639,0.110996748318724
2.37,-0.0209119069577637,0.191940961581308,0.104598752123518
2.385,-0.00470344378435277,0.194485479502296,0.098123693198254
2.4,0.0108780290287835,0.196507832559721,0.0915869710164152
2.415,0.0258284413231162,0.198020413040603,0.0850037297870906
2.43,0.0401446232583233,0.199036092511489,0.0783888386456505
2.445,0.0538242971786482,0.199568195232221,0.0717568725743189
2.46,0.0668660682836255,0.199630471269931,0.0651220940740444
2.475,0.0792694141269848,0.19923706934966,0.0584984356074897
2.49,0.0910346729699156,0.198402509478376,0.0518994828314759
2.505,0.102163031017041,0.197141655380029,0.0453384586358167
2.52,0.112656508565347,0.195469686780566,0.0388282080041334
2.535,0.122517945098053,0.193402071583116,0.0323811837109004
2.55,0.131750983356828,0.19095453797466,0.0260094328676381
2.565,0.140360052427128,0.188143046506439,0.0197245843297743
2.58,0.148350349872494,0.184983762190783,0.0135378369742964
2.595,0.15572782295476,0.181493026657243,0.00745994885682325
2.61,0.162499148978009,0.177687330410668,0.00150122725522834
2.625,0.168671714795041,0.173583285233394,-0.00432848039463742
2.64,0.174253595515916,0.169197596772968,-0.0100197946671441
2.655,0.179253532458999,0.164547037356022,-0.0155638114166334
2.67,0.183680910385678,0.15964841906795,-0.020952108147958
2.685,0.187545734060705,0.154518567137154,-0.0261767494886093
2.7,0.190858604180831,0.149174293661739,-0.0312302917647889
2.715,0.193630692715065,0.143632371715677,-0.0361057866852859
2.73,0.195873717700517,0.137909509870723,-0.040796784138458
2.745,0.197599917538306,0.132022327169553,-0.0452973341090353
2.76,0.198822024834467,0.125987328584873,-0.0496019877228147
2.775,0.199553239831136,0.119820880998372,-0.0537057974286251
2.79,0.199807203473574,0.113539189732502,-0.0576043163282317
2.805,0.199597970158699,0.107158275667035,-0.0612935966660937
2.82,0.198939980210907,0.100693952971134,-0.0647701874921274
2.835,0.197848032130894,0.0941618074803843,-0.0680311315118371
2.85,0.196337254663085,0.0875771757467472,-0.0710739611393771
2.865,0.194423078727121,0.0809551247878094,-0.0738966937702858
2.88,0.192121209258545,0.0743104325600328,-0.0764978262918046
2.895,0.189447597003578,0.0676575691789493,-0.0788763288498124
2.91,0.186418410312443,0.0610106789074808,-0.081031637892535
2.925,0.183050006975342,0.0543835629318043,-0.0829636485122366
2.94,0.179358906144669,0.0477896629424457,-0.0846727061071359
2.955,0.175361760386548,0.0412420455366568,-0.0861595973867502
2.97,0.171075327904227,0.0347533874565694,-0.0874255407447836
2.985,0.166516444975203,0.0283359616761768,-0.0884721760245177
3,0.161701998643308,0.0220016243488653,-0.0893015537024352
3.015,0.156648899706219,0.0157618026248072,-0.0899161235164905
3.03,0.151374056038737,0.00962748331234761,-0.0903187225657752
3.045,0.145894346291385,0.003609202421879,-0.0905125629105593
3.06,0.140226593999256,-0.00228296428977588,-0.0905012187006403
3.075,0.134387542138223,-0.0080394098996579,-0.0902886128577583
3.09,0.128393828164944,-0.0136510040179978,-0.0898790033423198
3.105,0.122261959574888,-0.0191090995803181,-0.0892769690343378
3.12,0.116008290011601,-0.0244055387303704,-0.0884873952582739
3.135,0.109648995959171,-0.0295326577942188,-0.0875154589817117
3.15,0.103200054048504,-0.0344832913473129,-0.0863666137180065
3.165,0.0966772190067026,-0.0392507753780674,-0.0850465741632289
3.18,0.0900960022774106,-0.0438289495531554,-0.0835613005978559
3.195,0.0834716513385934,-0.0482121585914831,-0.0819169830837541
3.21,0.0768191297427827,-0.0523952527555308,-0.0801200254870463
3.225,0.0701530979033625,-0.0563735874704526,-0.078177029357452
3.24,0.0634878946490098,-0.060143022082953,-0.0760947776946398
3.255,0.056837519566926,-0.0636999177735022,-0.0738802186320113
3.27,0.0502156161540126,-0.0670411346369053,-0.0715404490681779
3.285,0.0436354557936382,-0.0701640279475642,-0.0690826982761551
3.3,0.0371099225741282,-0.0730664436270189,-0.066514311520013
3.315,0.0306514989635853,-0.0757467129324896,-0.0638427337083804
3.33,0.0242722523541003,-0.0782036463861925,-0.0610754931137896
3.345,0.0179838224868567,-0.0804365269661938,-0.0582201851864037
3.36,0.0117974097680659,-0.0824451025804922,-0.0552844564901553
3.375,0.00572376448409,-0.0842295778469019,-0.0522759887887807
3.39,-0.000226823077463758,-0.0857906052021573,-0.0492024833086374
3.405,-0.006044531595496,-0.0871292753644734,-0.0460716452045575
3.42,-0.0117200167683909,-0.0882471071745807,-0.0428911682543195
3.435,-0.0172444184501867,-0.089146036841008,-0.0396687198066091
3.45,-0.022609366869462,-0.0898284066161038,-0.0364119260065978
3.465,-0.0278069879320117,-0.0902969529299652,-0.0331283573224917
3.48,-0.0328299076099272,-0.0905547940100732,-0.0298255143955868
3.495,-0.0376712554211871,-0.0906054170150161,-0.0265108142355305
3.51,-0.0423246670053709,-0.0904526647111973,-0.0231915767816098
3.525,-0.0467842858025615,-0.0901007217218928,-0.0198750118499872
3.54,-0.0510447638439396,-0.0895541003784141,-0.0165682064858663
3.555,-0.0551012616639798,-0.088817626203472,-0.0132781127386148
3.57,-0.0589494473455453,-0.0878964230571075,-0.010011535876884
3.585,-0.0625854947105065,-0.0867958979757712,-0.00677512305976012
3.6,-0.0660060806698499,-0.0855217257352898,-0.00357535247895245
3.615,-0.0692083817484962,-0.0840798331685655,-0.000418522985987049
3.63,-0.0721900698013158,-0.082476383268908,0.00268925578269118
3.645,-0.0749493069380183,-0.0807177591099113,0.00574207277086588
3.66,-0.0774847396757684,-0.078810547612748,0.00873422434718242
3.675,-0.0797954923394995,-0.0767615231916748,0.0116602226195866
3.69,-0.0818811597309784,-0.0745776313084135,0.0145148032109799
3.705,-0.0837417990887022,-0.0722659719659008,0.0172929324885781
3.72,-0.085377921361692,-0.0698337831716737,0.0199898142405703
3.735,-0.0867904818211864,-0.067288424400885,0.022600895794747
3.75,-0.0879808700351064,-0.064637360088622,0.025121873574865
3.765,-0.088950899231003,-0.0618881431808152,0.0275486980915953
3.78,-0.089702795073965,-0.0590483987725996,0.0298775783659873
3.795,-0.0902391838866848,-0.0561258078625004,0.0321049857844456
3.81,-0.0905630803395474,-0.0531280912502892,0.0342276573852945
3.825,-0.0906778746392134,-0.0500629936057635,0.0362425985780497
3.84,-0.0905873192447229,-0.0469382677350829,0.0381470852975677
3.855,-0.090295515140645,-0.0437616590706245,0.0399386655962732
3.87,-0.0898068976972399,-0.0405408904096144,0.0416151606786776
3.885,-0.0891262221479889,-0.0372836469260542,0.0431746653833936
3.9,-0.0882585487151755,-0.0339975614796915,0.0446155481188364
3.915,-0.0872092274144782,-0.0306902002449917,0.0459364502597437
3.93,-0.0859838825697499,-0.0273690486822409,0.0471362850125794
3.945,-0.0845883970693216,-0.0240414978720705,0.0482142357587902
3.96,-0.0830288963952691,-0.0207148312338209,0.0491697538857515
3.975,-0.0813117324571285,-0.0173962116472639,0.0500025561160929
3.99,-0.0794434672615339,-0.014092668996296,0.0507126213469007
4.005,-0.0774308564491821,-0.0108110881522493,0.0513001870110882
4.02,-0.0752808327304045,-0.00755819741350858,0.0517657449739706
4.035,-0.0730004892504454,-0.00434055741711369,0.0521100369788117
4.05,-0.0705970629153091,-0.00116455053699542,0.0523340496557926
4.065,-0.0680779177087529,0.00196362921756164,0.0524390091095152
4.08,-0.065450528030658,0.00503798579071127,0.0524263751007759
4.095,-0.0627224620866188,0.0080527301446911,0.0522978348389337
4.11,-0.0599013653581553,0.0110022887900253,0.0520552964017555
4.125,-0.0569949441824579,0.013881311772125,0.0517008818001368
4.14,-0.0540109494700441,0.01668468010628,0.0512369197055828
4.155,-0.0509571605881276,0.0194075126541628,0.0506659378587788
4.17,-0.0478413694368787,0.0220451724361272,0.0499906551779835
4.185,-0.0446713647450869,0.0245932723747222,0.0492139735863512
4.2,-0.0414549166110483,0.0270476804659664,0.0483389695776108
4.215,-0.0381997613137382,0.0294045243760685,0.0473688855398207
4.23,-0.0349135864185727,0.0316601954623763,0.046307120857164
4.245,-0.0316040162012331,0.0338113522184401,0.0451572228099527
4.26,-0.0282785974121878,0.0358549231441558,0.0439228772931715
4.275,-0.0249447854036673,0.037788109043021,0.0426078993740224
4.29,-0.0216099306399317,0.0396083847495763,0.0412162237090057
4.305,-0.0182812656107368,0.0413135002911433,0.0397518948411168
4.32,-0.0149658921669356,0.0429014814889731,0.0382190573977467
4.335,-0.011670769296168,0.0443706300049123,0.0366219462098294
4.35,-0.00840270135556588,0.0457195228406643,0.0349648763727043
4.365,-0.00516832677738308,0.0469470112976672,0.0332522332690562
4.38,-0.00197410726239446,0.0480522194065338,0.0314884625741299
4.395,0.00117368252515231,0.0490345418358997,0.0296780602632406
4.41,0.00426896474833403,0.0498936412913893,0.0278255626413682
4.425,0.00730586766249507,0.0506294454162599,0.025935536414365
4.44,0.010278734343834,0.0512421432060857,0.0240125688210113
4.455,0.0131821308722453,0.0517321809506277,0.0220612578448253
4.47,0.0160108539601488,0.0521002577167803,0.0200862025241647
4.485,0.0187599380201507,0.0523473203871898,0.0180919933787707
4.5,0.0214246616655147,0.0524745582698226,0.0160832029704703
4.515,0.0240005536385339,0.0524833972943884,0.0140643766153029
4.53,0.0264833981630206,0.0523754938121306,0.0120400232638475
4.545,0.0288692397182408,0.0521527280160533,0.0100146065660158
4.56,0.0311543872327366,0.0518171969991773,0.00799253613603376
4.575,0.0333354176975676,0.0513712074689038,0.00597815903277366
4.59,0.0354091791996131,0.0508172681360067,0.00397575147000664
4.605,0.037372793376629,0.0501580817971812,0.00198951077053474
4.62,0.0392236572968404,0.0493965371304439,2.35475775344127e-05
4.635,0.0409594447668883,0.0485357002230022,-0.00191812166421782
4.65,0.0425781070729763,0.0475788058515027,-0.00383158194522173
4.665,0.0440778731610831,0.0465292485348103,-0.00571302663491711
4.68,0.0454572492630905,0.04539057337968,-0.00755876412150889
4.695,0.046715017976643,0.0441664667398468,-0.00936522413804761
4.71,0.0478502368075003,0.04286074670919,-0.0111289637655865
4.725,0.0488622361840596,0.0414773534697093,-0.0128466731049712
4.74,0.0497506169546117,0.0400203395151024,-0.0145151806095624
4.755,0.0505152473787553,0.0384938597707385,-0.0161314580719507
4.77,0.0511562596252274,0.0369021616307915,-0.0176926252584775
4.785,0.0516740457891984,0.0352495749332295,-0.0191959541861427
4.8,0.0520692534428551,0.0335405018932418,-0.0206388730372427
4.815,0.0523427807338173,0.0317794070155528,-0.0220189697078592
4.83,0.0524957710466386,0.0299708070058772,-0.023333994987073
4.845,0.0525296072432967,0.0281192607015603,-0.0245818653645607
4.86,0.0524459054992063,0.0262293590411948,-0.0257606654649785
4.875,0.0522465087518711,0.0243057150927128,-0.0268686501083081
4.89,0.0519334797798419,0.0223529541591332,-0.0279042459960873
4.905,0.0515090939301529,0.0203757039807884,-0.0288660530241913
4.92,0.0509758315128813,0.0183785850524645,-0.0297528452235726
4.935,0.0503363698818978,0.016366201073471,-0.030563571331088
4.95,0.0495935752212699,0.0143431295482012,-0.0312973549932608
4.965,0.0487504940571184,0.0123139125542664,-0.0319534946065265
4.98,0.0478103445150406,0.0102830476947744,-0.0325314627982005
4.995,0.0467765073434709,0.00825497925078156,-0.03303090555308
5.01,0.0456525167235726,0.0062340895493855,-0.0334516409912493
5.025,0.044442050886444,0.00422469056201983,-0.0337936578032959
5.04,0.0431489225586043,0.00223101574567516,-0.0340571133497588
5.055,0.0417770692567037,0.000257212144747867,-0.0342423314323492
5.07,0.0403305434524585,-0.00169266723356383,-0.0343497997448613
5.085,0.0388135026289589,-0.00361467076162723,-0.0343801670122962
5.1,0.0372301992493945,-0.00550495523883926,-0.034334239827385
5.115,0.0355849706591857,-0.00735979263309931,-0.0342129791941622
5.13,0.0338822289424085,-0.00917557650618901,-0.0340174967887313
5.145,0.0321264507532585,-0.010948828113665,-0.0337490509478254
5.16,0.0303221671431226,-0.012676202170607,-0.0334090423962118
5.175,0.0284739534036,-0.0143544922753022,-0.0329990097243955
5.19,0.0265864189455634,-0.0159806359836906,-0.0325206246284709
5.205,0.0246641972340534,-0.0175517195281651,-0.0319756869243227
5.22,0.0227119357984685,-0.0190649821750785,-0.0313661193487171
5.235,0.0207342863371511,-0.0205178202160996,-0.0306939621601235
5.25,0.0187358949350676,-0.0219077905893368,-0.0299613675523885
5.265,0.0167213924128531,-0.0232326141269473,-0.0291705938946322
5.28,0.0146953848250296,-0.0244901784267436,-0.0283239998109597
5.295,0.0126624441247174,-0.0256785403461005,-0.0274240381137744
5.31,0.0106270990116381,-0.0267959281172597,-0.026473249604641
5.325,0.00859382597966984,-0.027840743083914,-0.0254742567567862
5.34,0.00656704057963718,-0.0288115610597195,-0.0244297572934242
5.355,0.00455108891243344,-0.0297071333101508,-0.0233425176761741
5.37,0.00255023936695257,-0.0305263871598538,-0.0222153665178766
5.385,0.000568674616663526,-0.0312684262283792,-0.0210511879341344
5.4,-0.00138951611198544,-0.0319325302978914,-0.0198529148478855
5.415,-0.00332034448683703,-0.0325181548171398,-0.0186235222612736
5.43,-0.00521993022116476,-0.0330249300466549,-0.017366020509006
5.445,-0.00708450791758964,-0.0334526598507923,-0.0160834485072887
