Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9
0,0.201657074095877,-0.250340609679998,-0.132359193339555,-0.0874302220287728,-0.119603925276058,0.403099641233237,0.281470213467041,-0.049276119297018
0.015,0.212608195222301,-0.242966589444053,-0.129049317879801,-0.0874302220287728,-0.117157699522888,0.40474843235334,0.282208552077806,-0.049276119297018
0.03,0.22044632785569,-0.234245889859838,-0.119741129811189,-0.0782661560483012,-0.115617145147712,0.406508964027249,0.284130615610676,-0.0473537818031396
0.045,0.227514793519215,-0.227059804387684,-0.112387179825293,-0.0708267791469908,-0.114199809690223,0.40794120628578,0.285590439387436,-0.0458761359194019
0.06,0.233755642951244,-0.220682712408464,-0.105881247833529,-0.0641885533354252,-0.112918320349833,0.409244961068478,0.286915136280206,-0.0445283297099112
0.075,0.239184764662402,-0.215120803951332,-0.100189980549348,-0.0583712783683047,-0.111773968090826,0.410412717234242,0.288105082616776,-0.0433172161586877
0.09,0.243796065740743,-0.210376411578994,-0.0953161064583381,-0.0533715637900734,-0.110780536994931,0.411431746383012,0.289148429252908,-0.0422508346370228
0.105,0.247600165034543,-0.206442870252813,-0.0912557637650833,-0.0491873437509305,-0.109947589578767,0.412291347952315,0.290033688341371,-0.0413409981105965
0.12,0.250637895305223,-0.203284570904059,-0.0879782094592151,-0.0457922359755191,-0.109275290729393,0.412989674586618,0.290757462049691,-0.040592475091733
0.135,0.252981332006803,-0.200834228776373,-0.0854209702499829,-0.0431285041773427,-0.108753579466245,0.413535173216545,0.291326579486965,-0.0400000253357304
0.15,0.254726692104177,-0.198998863682822,-0.0834945775052354,-0.0411104009771426,-0.10836415156772,0.41394498900157,0.29175693878934,-0.0395490651531505
0.165,0.255982715734162,-0.197670923928914,-0.08209306050851,-0.0396338972920653,-0.108083945619433,0.414241642241679,0.292070396103209,-0.0392185168963557
0.18,0.256858314421472,-0.196740749124787,-0.0811063939252697,-0.038588984551318,-0.107888832431978,0.414449298310999,0.292291036828785,-0.0389844922823883
0.195,0.257452542402313,-0.196107128091659,-0.080431503359782,-0.0378710347773711,-0.107756534218451,0.414590679663386,0.292441943012875,-0.0388236409081115
0.21,0.257848452364411,-0.195684123171568,-0.0799797432852542,-0.0373888933611331,-0.107668350726234,0.414685136823429,0.292543066524586,-0.0387154655860759
0.225,0.258110907471833,-0.195403870301095,-0.0796803225754907,-0.0370689355676497,-0.10760975493691,0.414747882987895,0.292610287143313,-0.0386434453167183
0.24,0.258287478001257,-0.1952161129209,-0.0794802999654036,-0.0368555515421152,-0.107570175093827,0.414790102103453,0.292655400263016,-0.0385951779126947
0.255,0.258411210348046,-0.195085658768796,-0.0793422993710539,-0.0367091527639532,-0.107542327301297,0.414819564403918,0.292686671180755,-0.0385618966382894
0.27,0.258504125081892,-0.194988932991284,-0.0792411406400453,-0.0366029079875106,-0.107521400923847,0.414841433082806,0.292709627151323,-0.0385376999439561
0.285,0.258580575842416,-0.19491054920814,-0.0791603580155294,-0.036519227934034,-0.107504301825481,0.414859040329325,0.292727848771086,-0.0385187490948658
0.3,0.258649943940176,-0.194840481418992,-0.0790892470398635,-0.0364466969698689,-0.107489062534273,0.414874508532197,0.292743620913648,-0.0385025894696412
0.315,0.258718468555477,-0.194772087185238,-0.0790207423434791,-0.0363778077115299,-0.107474449218485,0.414889175106864,0.292758389361178,-0.0384876623432929
0.33,0.258790266801937,-0.194700963880086,-0.0789501466751042,-0.0363075598941239,-0.107459739931756,0.414903839067478,0.292773033130585,-0.0384730059836165
0.345,0.258867755829823,-0.194624445089279,-0.0788745401694131,-0.0362327770783616,-0.107444618921631,0.414918881363024,0.292788000686172,-0.0384581023557925
0.36,0.258951748879924,-0.194541468926937,-0.0787926075528545,-0.0361518871794614,-0.107429125390634,0.414934320929337,0.292803371844093,-0.038442808292034
0.375,0.259041476108461,-0.194452559440927,-0.0787046179760315,-0.0360648966652938,-0.107413605917804,0.414949859935067,0.292818901252746,-0.0384273131489078
0.39,0.259134707672231,-0.194359729107244,-0.0786123516247958,-0.0359733395226425,-0.107398640016054,0.414964952446386,0.292834081303097,-0.038412081570036
