idx,yp,yy,mp,my,np,ny,epp,epy,ep,ey,up,uy,kpp,kpi,kpd,kyp,kyi,kyd,r,td,x
0,-30,0,-40.1070456591576,0,0,0,10.1070456591576,0,-40.1070456591576,0,0,0,80,0.4,8,80,0.4,8,0.245,0.243319705839894,-0.168029416010623
0.015,-29.99919162,0,-40.1586521220835,0.00562100632704788,546.908113052478,-400.426063272132,10.1594605020835,-0.00562100632704788,-587.066765174561,400.431684278459,16.2330700140804,0,79.9661445658191,0.372187293549153,18.6672684774667,80.0047339562974,0.400004733956297,8.00473395629744,5.30531650472929,14.5959856155392,-14.5256635867965
0.03,-29.99677296,0,-40.079800914009,0.0638979766915313,309.77194147512,-229.788597610245,10.083027954009,-0.0638979766915313,-349.851742389129,229.852495586936,16.4314191980248,-0.0503312213070216,80.0155347318897,0.346439810798639,18.7248835212423,80.0266600074799,0.400047033835391,8.01336916238512,2.19321789009,15.8299739396322,-12.3059824100764
0.045,-29.99275374,0,-39.8111771960035,0.181557929102131,317.8724862859,-238.165410001082,9.81842345600346,-0.181557929102131,-357.683663481904,238.346967930184,16.3446042988287,-0.186991110370108,80.177159994523,0.328240086866889,18.7616918230895,80.0623442523944,0.400172663904874,8.01923253441393,2.16906594340432,14.3111372401815,-11.9160920434125
0.06,-29.98714368,0,-39.3783579397251,0.353604967254913,309.071497421233,-233.955068214316,9.39121425972507,-0.353604967254913,-348.449855360958,234.308673181571,15.9990073575609,-0.405430872175341,80.4270496864718,0.311461905500925,18.7916066269606,80.1132767545922,0.400432143616131,8.02440913329826,1.98430977649068,13.5754592472413,-11.2051301603502
0.075,-29.9799525,0,-38.8119152538112,0.573351867943214,293.904449912653,-224.755431223523,8.83196275381122,-0.573351867943214,-332.716365166464,225.328783091466,15.4320169290643,-0.698356103626654,80.7284508031707,0.296836757765343,18.8134482951746,80.1742815410458,0.400845258405182,8.02860116958408,1.75643817428849,12.5742346251677,-10.2947221616021
0.09,-29.97118992,0,-38.1457594260046,0.832713525023511,273.384969646871,-211.202048570839,8.17456950600463,-0.832713525023511,-311.530729072876,212.034762095862,14.6880100447601,-1.05620694826263,81.0415027192701,0.284810825923996,18.8272469644995,80.2389011219692,0.401399909500151,8.03166044480058,1.50777206895795,11.372871012249,-9.2464058238841
0.105,-29.96086566,0,-37.4154386669818,1.12254440347005,248.727892906276,-194.117595224962,7.45457300698182,-1.12254440347005,-286.143331573258,195.240139628432,13.8161445657352,-1.46754977830652,81.3322340891862,0.27546554625036,18.8341384727445,80.300947359991,0.402055889025608,8.03361757395697,1.25858631681522,10.0542919041711,-8.12094374019197
0.12,-29.94898944,0,-36.656461080409,1.43300560247774,221.276041667381,-174.459995321683,6.70747164040901,-1.43300560247774,-257.93250274779,175.893000924161,12.8678240592107,-1.91953686064362,81.5777775226769,0.268591881864711,18.8358981979141,80.3556083474797,0.402755412788,8.03464154460003,1.02511070435897,8.69394590770003,-6.97474438539148
0.135,-29.93557098,0,-35.9027070257784,1.75394596988996,192.388765567895,-153.242118244001,5.96713604577843,-1.75394596988996,-228.291472593674,154.996064213891,11.8940268224732,-2.39841833031791,81.7678880376511,0.26379783217353,18.8344486776619,80.4000608612615,0.40343721078184,8.03497789783587,0.818235423716042,7.35648313004295,-5.85703339371971
